,idGame,nWeekHome,nWeekAway,Date,year,IdHomeTeam,IdAwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
40,Chelsea_Fulham_2013,5,5,2013-09-21,2013,11,15,2,0,H,0,0,D,A Marriner,26,4,10,1,11,9,13,3,0,0,0,0
41,Liverpool_Southampton_2013,5,5,2013-09-21,2013,20,30,0,1,A,0,0,D,N Swarbrick,10,12,5,7,6,9,6,6,0,1,0,0
42,Newcastle_Hull_2013,5,5,2013-09-21,2013,24,17,2,3,A,2,1,H,M Atkinson,15,12,2,5,11,8,3,3,1,1,0,0
43,Norwich_Aston Villa_2013,5,5,2013-09-21,2013,25,1,0,1,A,0,1,A,C Foy,12,16,1,4,15,10,7,4,1,0,0,0
44,West Brom_Sunderland_2013,5,5,2013-09-21,2013,36,32,3,0,H,1,0,H,P Dowd,13,7,4,0,9,10,5,6,0,2,0,0
45,West Ham_Everton_2013,5,5,2013-09-21,2013,37,14,2,3,A,1,0,H,L Mason,9,10,1,4,16,12,5,5,2,1,1,0
46,Man City_Man United_2013,5,5,2013-09-22,2013,21,22,4,1,H,2,0,H,H Webb,18,14,5,3,8,12,8,4,1,2,0,0
47,Crystal Palace_Swansea_2013,5,5,2013-09-22,2013,12,33,0,2,A,0,1,A,K Friend,9,15,1,7,13,9,6,7,2,2,0,0
48,Arsenal_Stoke_2013,5,5,2013-09-22,2013,0,31,3,1,H,2,1,H,M Dean,16,9,8,3,8,15,6,7,0,2,0,0
49,Cardiff_Tottenham_2013,5,5,2013-09-22,2013,9,34,0,1,A,0,0,D,M Clattenburg,6,29,0,12,5,7,2,12,1,4,0,0
50,Aston Villa_Man City_2013,6,6,2013-09-28,2013,1,21,3,2,H,0,1,A,M Jones,8,20,4,7,13,9,2,13,1,1,0,0
51,Fulham_Cardiff_2013,6,6,2013-09-28,2013,15,9,1,2,A,1,1,D,C Pawson,9,22,5,4,14,13,11,10,1,1,0,0
52,Hull_West Ham_2013,6,6,2013-09-28,2013,17,37,1,0,H,1,0,H,K Friend,9,18,2,5,11,12,6,6,1,2,0,0
53,Man United_West Brom_2013,6,6,2013-09-28,2013,22,36,1,2,A,0,0,D,M Oliver,14,12,6,4,10,14,5,8,3,2,0,0
54,Southampton_Crystal Palace_2013,6,6,2013-09-28,2013,30,12,2,0,H,0,0,D,M Atkinson,12,8,3,0,11,12,8,2,1,2,0,0
55,Swansea_Arsenal_2013,6,6,2013-09-28,2013,33,0,1,2,A,0,0,D,M Clattenburg,10,10,3,4,5,11,4,3,3,2,0,0
56,Tottenham_Chelsea_2013,6,6,2013-09-28,2013,34,11,1,1,D,1,0,H,M Dean,12,11,4,5,14,14,4,5,5,1,0,1
57,Stoke_Norwich_2013,6,6,2013-09-29,2013,31,25,0,1,A,0,1,A,A Taylor,8,8,1,3,14,12,7,3,2,1,0,0
58,Sunderland_Liverpool_2013,6,6,2013-09-29,2013,32,20,1,3,A,0,2,A,H Webb,23,15,5,6,8,10,10,8,2,1,0,0
59,Everton_Newcastle_2013,6,6,2013-09-30,2013,14,24,3,2,H,3,0,H,P Dowd,18,15,7,6,5,15,1,1,3,1,0,0
60,Man City_Everton_2013,7,7,2013-10-05,2013,21,14,3,1,H,2,1,H,J Moss,12,6,6,4,15,10,8,1,5,4,0,0
61,Liverpool_Crystal Palace_2013,7,7,2013-10-05,2013,20,12,3,1,H,3,0,H,A Taylor,13,11,7,2,11,6,11,3,2,1,0,0
62,Fulham_Stoke_2013,7,7,2013-10-05,2013,15,31,1,0,H,0,0,D,R East,9,16,2,3,11,13,7,5,3,2,0,0
63,Cardiff_Newcastle_2013,7,7,2013-10-05,2013,9,24,1,2,A,0,2,A,K Friend,8,20,2,10,11,8,3,3,1,0,0,0
64,Sunderland_Man United_2013,7,7,2013-10-05,2013,32,22,1,2,A,1,0,H,C Foy,6,13,2,6,15,13,4,4,2,4,0,0
65,Hull_Aston Villa_2013,7,7,2013-10-05,2013,17,1,0,0,D,0,0,D,M Clattenburg,6,18,1,4,7,11,7,7,2,1,0,0
66,Tottenham_West Ham_2013,7,7,2013-10-06,2013,34,37,0,3,A,0,0,D,L Probert,14,16,4,5,5,9,6,7,0,0,0,0
67,West Brom_Arsenal_2013,7,7,2013-10-06,2013,36,0,1,1,D,1,0,H,L Mason,12,14,4,5,6,11,6,2,1,2,0,0
68,Norwich_Chelsea_2013,7,7,2013-10-06,2013,25,11,1,3,A,0,1,A,N Swarbrick,14,22,3,8,12,9,4,6,1,1,0,0
69,Southampton_Swansea_2013,7,7,2013-10-06,2013,30,33,2,0,H,1,0,H,M Dean,12,17,4,7,13,8,7,4,3,1,0,0
70,West Ham_Man City_2013,8,8,2013-10-19,2013,37,21,1,3,A,0,1,A,M Oliver,11,16,2,9,7,12,5,5,1,2,0,0
71,Swansea_Sunderland_2013,8,8,2013-10-19,2013,33,32,4,0,H,0,0,D,C Pawson,14,6,6,1,12,13,7,2,1,2,0,0
72,Stoke_West Brom_2013,8,8,2013-10-19,2013,31,36,0,0,D,0,0,D,H Webb,9,12,3,5,12,10,6,6,1,0,0,0
73,Newcastle_Liverpool_2013,8,8,2013-10-19,2013,24,20,2,2,D,1,1,D,A Marriner,14,23,4,7,8,10,3,13,2,3,1,0
74,Chelsea_Cardiff_2013,8,8,2013-10-19,2013,11,9,4,1,H,1,1,D,A Taylor,20,13,7,3,12,5,6,9,1,2,0,0
75,Everton_Hull_2013,8,8,2013-10-19,2013,14,17,2,1,H,1,1,D,N Swarbrick,14,9,6,1,7,17,5,7,3,1,0,0
76,Arsenal_Norwich_2013,8,8,2013-10-19,2013,0,25,4,1,H,1,0,H,L Probert,20,12,11,6,8,7,10,1,0,0,0,0
77,Man United_Southampton_2013,8,8,2013-10-19,2013,22,30,1,1,D,1,0,H,M Jones,12,18,5,7,10,19,4,4,2,3,0,0
78,Aston Villa_Tottenham_2013,8,8,2013-10-20,2013,1,34,0,2,A,0,1,A,P Dowd,15,13,2,6,13,12,4,7,3,4,0,0
79,Crystal Palace_Fulham_2013,8,8,2013-10-21,2013,12,15,1,4,A,1,2,A,L Mason,14,9,4,6,10,13,5,7,0,1,0,0
80,Aston Villa_Everton_2013,9,9,2013-10-26,2013,1,14,0,2,A,0,0,D,A Taylor,14,15,3,4,14,8,8,6,0,2,0,0
81,Crystal Palace_Arsenal_2013,9,9,2013-10-26,2013,12,0,0,2,A,0,0,D,C Foy,13,10,4,4,12,8,4,3,0,0,0,1
82,Liverpool_West Brom_2013,9,9,2013-10-26,2013,20,36,4,1,H,2,0,H,J Moss,18,15,7,3,14,11,3,9,0,2,0,0
83,Man United_Stoke_2013,9,9,2013-10-26,2013,22,31,3,2,H,1,2,A,L Mason,19,10,5,5,8,18,12,2,2,6,0,0
84,Norwich_Cardiff_2013,9,9,2013-10-26,2013,25,9,0,0,D,0,0,D,M Jones,31,6,10,4,8,10,13,2,1,1,0,0
85,Southampton_Fulham_2013,9,9,2013-10-26,2013,30,15,2,0,H,2,0,H,A Marriner,20,1,6,0,12,8,10,3,0,2,0,0
86,Tottenham_Hull_2013,9,9,2013-10-27,2013,34,17,1,0,H,0,0,D,M Oliver,15,10,6,4,13,10,6,4,3,3,0,0
87,Chelsea_Man City_2013,9,9,2013-10-27,2013,11,21,2,1,H,1,0,H,H Webb,12,15,4,6,11,15,3,6,2,3,0,0
88,Sunderland_Newcastle_2013,9,9,2013-10-27,2013,32,24,2,1,H,1,0,H,L Probert,8,16,4,4,13,14,5,3,1,1,0,0
89,Swansea_West Ham_2013,9,9,2013-10-27,2013,33,37,0,0,D,0,0,D,P Dowd,10,15,5,4,12,14,9,6,1,3,0,0
90,West Brom_Crystal Palace_2013,10,10,2013-11-02,2013,36,12,2,0,H,1,0,H,N Swarbrick,9,12,4,4,11,9,10,3,0,1,0,0
91,Stoke_Southampton_2013,10,10,2013-11-02,2013,31,30,1,1,D,1,1,D,C Foy,9,10,3,2,13,13,5,5,3,1,0,0
92,West Ham_Aston Villa_2013,10,10,2013-11-02,2013,37,1,0,0,D,0,0,D,H Webb,17,8,4,2,8,15,5,1,0,2,0,0
93,Newcastle_Chelsea_2013,10,10,2013-11-02,2013,24,11,2,0,H,0,0,D,L Mason,15,13,8,2,13,11,3,8,2,2,0,0
94,Man City_Norwich_2013,10,10,2013-11-02,2013,21,25,7,0,H,4,0,H,P Dowd,27,7,9,1,6,9,10,3,1,1,0,0
95,Hull_Sunderland_2013,10,10,2013-11-02,2013,17,32,1,0,H,1,0,H,A Marriner,25,9,2,1,17,11,4,2,2,0,0,2
96,Fulham_Man United_2013,10,10,2013-11-02,2013,15,22,1,3,A,0,3,A,L Probert,15,10,6,4,6,12,4,4,2,1,0,0
97,Arsenal_Liverpool_2013,10,10,2013-11-02,2013,0,20,2,0,H,1,0,H,M Atkinson,12,12,7,4,11,7,3,5,2,1,0,0
98,Cardiff_Swansea_2013,10,10,2013-11-03,2013,9,33,1,0,H,0,0,D,M Dean,9,10,3,3,11,7,6,3,1,1,0,1
99,Everton_Tottenham_2013,10,10,2013-11-03,2013,14,34,0,0,D,0,0,D,K Friend,8,16,1,6,11,9,7,4,4,1,0,0
100,Norwich_West Ham_2013,11,11,2013-11-09,2013,25,37,3,1,H,0,1,A,J Moss,15,12,6,4,12,11,4,2,1,1,0,0
101,Liverpool_Fulham_2013,11,11,2013-11-09,2013,20,15,4,0,H,3,0,H,M Jones,32,4,10,1,13,9,9,3,0,1,0,0
102,Southampton_Hull_2013,11,11,2013-11-09,2013,30,17,4,1,H,3,0,H,H Webb,15,10,7,2,10,15,6,5,1,2,0,0
103,Chelsea_West Brom_2013,11,11,2013-11-09,2013,11,36,2,2,D,1,0,H,L Probert,17,11,7,3,11,15,9,4,3,7,0,0
104,Aston Villa_Cardiff_2013,11,11,2013-11-09,2013,1,9,2,0,H,0,0,D,M Atkinson,17,8,6,2,10,3,5,3,1,1,0,0
105,Crystal Palace_Everton_2013,11,11,2013-11-09,2013,12,14,0,0,D,0,0,D,C Pawson,9,15,2,2,16,8,4,7,1,0,0,0
106,Man United_Arsenal_2013,11,11,2013-11-10,2013,22,0,1,0,H,1,0,H,M Oliver,5,10,2,2,12,11,5,6,2,3,0,0
107,Sunderland_Man City_2013,11,11,2013-11-10,2013,32,21,1,0,H,1,0,H,M Dean,5,24,2,4,6,13,0,14,0,1,0,0
108,Swansea_Stoke_2013,11,11,2013-11-10,2013,33,31,3,3,D,0,2,A,R Madley,17,6,6,3,12,15,14,3,5,3,0,0
109,Tottenham_Newcastle_2013,11,11,2013-11-10,2013,34,24,0,1,A,0,1,A,C Foy,31,8,14,4,5,15,11,4,1,2,0,0
110,Stoke_Sunderland_2013,12,12,2013-11-23,2013,31,32,2,0,H,1,0,H,K Friend,17,11,5,3,11,5,3,7,2,1,0,1
111,Arsenal_Southampton_2013,12,12,2013-11-23,2013,0,30,2,0,H,1,0,H,M Clattenburg,9,10,4,4,10,14,5,6,0,3,0,0
112,Everton_Liverpool_2013,12,12,2013-11-23,2013,14,20,3,3,D,1,2,A,P Dowd,18,11,12,5,16,15,6,7,4,3,0,0
113,Fulham_Swansea_2013,12,12,2013-11-23,2013,15,33,1,2,A,0,0,D,A Marriner,9,21,3,5,11,9,8,8,3,1,0,0
114,Hull_Crystal Palace_2013,12,12,2013-11-23,2013,17,12,0,1,A,0,0,D,A Taylor,15,9,2,2,8,11,11,4,2,1,0,1
115,Newcastle_Norwich_2013,12,12,2013-11-23,2013,24,25,2,1,H,2,0,H,M Dean,21,10,5,2,8,7,6,5,0,1,0,0
116,West Ham_Chelsea_2013,12,12,2013-11-23,2013,37,11,0,3,A,0,2,A,C Foy,8,20,1,8,12,10,8,4,0,0,0,0
117,Man City_Tottenham_2013,12,12,2013-11-24,2013,21,34,6,0,H,3,0,H,M Atkinson,15,13,10,5,7,11,4,7,1,3,0,0
118,Cardiff_Man United_2013,12,12,2013-11-24,2013,9,22,2,2,D,1,2,A,N Swarbrick,14,16,4,5,15,14,2,8,4,2,0,0
119,West Brom_Aston Villa_2013,12,12,2013-11-25,2013,36,1,2,2,D,2,0,H,M Oliver,11,15,4,7,9,14,4,2,1,2,0,0
120,Aston Villa_Sunderland_2013,13,13,2013-11-30,2013,1,32,0,0,D,0,0,D,N Swarbrick,13,7,4,1,14,12,7,6,2,1,0,0
121,Cardiff_Arsenal_2013,13,13,2013-11-30,2013,9,0,0,3,A,0,1,A,L Mason,10,15,4,6,6,8,3,3,0,3,0,0
122,Everton_Stoke_2013,13,13,2013-11-30,2013,14,31,4,0,H,1,0,H,M Jones,22,4,12,3,9,16,9,3,0,3,0,0
123,Newcastle_West Brom_2013,13,13,2013-11-30,2013,24,36,2,1,H,1,0,H,P Dowd,14,14,6,1,15,15,3,3,1,2,0,0
124,Norwich_Crystal Palace_2013,13,13,2013-11-30,2013,25,12,1,0,H,1,0,H,C Foy,10,13,3,3,12,14,5,4,1,2,0,0
125,West Ham_Fulham_2013,13,13,2013-11-30,2013,37,15,3,0,H,0,0,D,M Atkinson,23,10,12,0,11,8,6,3,3,2,0,0
126,Man City_Swansea_2013,13,13,2013-12-01,2013,21,33,3,0,H,1,0,H,M Clattenburg,22,9,7,4,7,8,5,4,1,0,0,0
127,Chelsea_Southampton_2013,13,13,2013-12-01,2013,11,30,3,1,H,0,1,A,M Oliver,16,9,7,1,15,14,8,4,1,4,0,0
128,Hull_Liverpool_2013,13,13,2013-12-01,2013,17,20,3,1,H,1,1,D,H Webb,12,9,4,4,10,16,2,6,2,0,0,0
129,Tottenham_Man United_2013,13,13,2013-12-01,2013,34,22,2,2,D,1,1,D,M Dean,10,8,4,3,9,15,7,7,1,3,0,0
130,Crystal Palace_West Ham_2013,14,14,2013-12-03,2013,12,37,1,0,H,1,0,H,L Mason,10,11,5,2,10,9,3,4,1,2,0,0
131,Arsenal_Hull_2013,14,14,2013-12-04,2013,0,17,2,0,H,1,0,H,A Marriner,20,7,7,2,9,6,11,1,0,0,0,0
132,Fulham_Tottenham_2013,14,14,2013-12-04,2013,15,34,1,2,A,0,0,D,M Clattenburg,16,18,6,5,7,16,9,7,2,1,0,0
133,Liverpool_Norwich_2013,14,14,2013-12-04,2013,20,25,5,1,H,3,0,H,A Taylor,28,14,12,5,10,6,4,0,3,1,0,0
134,Man United_Everton_2013,14,14,2013-12-04,2013,22,14,0,1,A,0,0,D,M Atkinson,18,15,6,4,12,12,7,4,2,0,0,0
135,Southampton_Aston Villa_2013,14,14,2013-12-04,2013,30,1,2,3,A,0,1,A,J Moss,21,6,9,3,9,13,8,2,3,2,0,0
136,Stoke_Cardiff_2013,14,14,2013-12-04,2013,31,9,0,0,D,0,0,D,M Oliver,17,14,2,3,11,12,2,5,2,2,0,0
137,Sunderland_Chelsea_2013,14,14,2013-12-04,2013,32,11,3,4,A,1,2,A,P Dowd,12,19,3,5,15,14,6,5,4,3,0,0
138,Swansea_Newcastle_2013,14,14,2013-12-04,2013,33,24,3,0,H,1,0,H,H Webb,13,14,5,3,4,8,5,1,0,2,0,0
139,West Brom_Man City_2013,14,14,2013-12-04,2013,36,21,2,3,A,0,2,A,C Foy,12,15,1,5,8,10,3,3,1,1,0,0
140,Sunderland_Tottenham_2013,15,15,2013-12-07,2013,32,34,1,2,A,1,1,D,L Mason,11,22,4,5,14,9,4,10,2,0,0,0
141,West Brom_Norwich_2013,15,15,2013-12-07,2013,36,25,0,2,A,0,1,A,M Clattenburg,26,8,12,3,10,6,10,3,1,3,0,0
142,Stoke_Chelsea_2013,15,15,2013-12-07,2013,31,11,3,2,H,1,1,D,J Moss,9,15,3,6,14,8,5,2,4,1,0,0
143,Crystal Palace_Cardiff_2013,15,15,2013-12-07,2013,12,9,2,0,H,1,0,H,M Jones,19,10,5,2,9,12,8,3,0,0,0,0
144,Man United_Newcastle_2013,15,15,2013-12-07,2013,22,24,0,1,A,0,0,D,A Marriner,8,9,4,3,11,18,4,4,0,2,0,0
145,Liverpool_West Ham_2013,15,15,2013-12-07,2013,20,37,4,1,H,1,0,H,M Oliver,32,8,9,1,9,12,8,4,0,3,0,1
146,Southampton_Man City_2013,15,15,2013-12-07,2013,30,21,1,1,D,1,1,D,A Taylor,15,13,4,3,6,9,5,4,0,2,0,0
147,Arsenal_Everton_2013,15,15,2013-12-08,2013,0,14,1,1,D,0,0,D,H Webb,11,12,5,4,13,11,3,2,0,4,0,0
148,Fulham_Aston Villa_2013,15,15,2013-12-08,2013,15,1,2,0,H,2,0,H,M Dean,22,10,10,2,12,13,4,7,0,2,0,0
149,Swansea_Hull_2013,15,15,2013-12-09,2013,33,17,1,1,D,0,1,A,M Atkinson,11,9,2,2,8,7,12,1,3,3,0,0
150,West Ham_Sunderland_2013,16,16,2013-12-14,2013,37,32,0,0,D,0,0,D,A Marriner,11,19,2,6,11,5,2,9,1,0,0,0
151,Newcastle_Southampton_2013,16,16,2013-12-14,2013,24,30,1,1,D,1,0,H,M Jones,16,8,5,3,10,16,11,3,1,2,0,0
152,Man City_Arsenal_2013,16,16,2013-12-14,2013,21,0,6,3,H,2,1,H,M Atkinson,22,12,7,6,12,6,8,8,2,1,0,0
153,Hull_Stoke_2013,16,16,2013-12-14,2013,17,31,0,0,D,0,0,D,M Dean,13,11,4,2,11,13,7,5,1,0,0,0
154,Everton_Fulham_2013,16,16,2013-12-14,2013,14,15,4,1,H,1,0,H,A Taylor,22,16,7,3,10,7,12,2,1,2,0,0
155,Chelsea_Crystal Palace_2013,16,16,2013-12-14,2013,11,12,2,1,H,2,1,H,M Clattenburg,16,10,7,5,13,7,3,1,2,1,0,0
156,Cardiff_West Brom_2013,16,16,2013-12-14,2013,9,36,1,0,H,0,0,D,H Webb,11,12,3,2,16,12,8,6,2,1,0,0
157,Aston Villa_Man United_2013,16,16,2013-12-15,2013,1,22,0,3,A,0,2,A,C Foy,17,14,6,5,15,8,3,4,4,2,0,0
158,Norwich_Swansea_2013,16,16,2013-12-15,2013,25,33,1,1,D,1,1,D,M Oliver,16,10,3,2,12,11,8,5,0,3,0,0
159,Tottenham_Liverpool_2013,16,16,2013-12-15,2013,34,20,0,5,A,0,2,A,J Moss,9,21,0,10,17,15,2,9,3,0,1,0
160,West Brom_Hull_2013,17,17,2013-12-21,2013,36,17,1,1,D,0,1,A,J Moss,14,6,3,3,8,15,9,2,2,1,0,0
161,Stoke_Aston Villa_2013,17,17,2013-12-21,2013,31,1,2,1,H,0,0,D,C Pawson,12,14,2,4,13,17,6,7,1,5,0,0
162,Man United_West Ham_2013,17,17,2013-12-21,2013,22,37,3,1,H,2,0,H,M Jones,21,4,8,1,7,16,8,2,1,4,0,0
163,Sunderland_Norwich_2013,17,17,2013-12-21,2013,32,25,0,0,D,0,0,D,M Atkinson,18,14,4,5,13,10,6,7,2,1,1,0
164,Fulham_Man City_2013,17,17,2013-12-21,2013,15,21,2,4,A,0,2,A,K Friend,12,17,5,10,7,15,4,4,1,1,0,0
165,Crystal Palace_Newcastle_2013,17,17,2013-12-21,2013,12,24,0,3,A,0,2,A,N Swarbrick,9,13,4,6,11,14,3,7,1,2,0,0
166,Liverpool_Cardiff_2013,17,17,2013-12-21,2013,20,9,3,1,H,3,0,H,L Probert,27,10,7,3,11,13,9,5,2,0,0,0
167,Southampton_Tottenham_2013,17,17,2013-12-22,2013,30,34,2,3,A,1,1,D,C Foy,12,13,5,3,10,18,2,5,1,1,0,0
168,Swansea_Everton_2013,17,17,2013-12-22,2013,33,14,1,2,A,0,0,D,L Mason,13,14,3,6,11,10,4,8,1,0,0,0
169,Arsenal_Chelsea_2013,17,17,2013-12-23,2013,0,11,0,0,D,0,0,D,M Dean,7,13,2,4,7,11,8,6,2,1,0,0
170,West Ham_Arsenal_2013,18,18,2013-12-26,2013,37,0,1,3,A,0,0,D,P Dowd,12,29,5,8,11,6,0,10,1,1,0,0
171,Tottenham_West Brom_2013,18,18,2013-12-26,2013,34,36,1,1,D,1,1,D,A Taylor,20,7,3,4,8,12,12,2,3,2,0,0
172,Norwich_Fulham_2013,18,18,2013-12-26,2013,25,15,1,2,A,1,1,D,J Moss,12,15,3,7,14,10,5,4,3,0,0,0
173,Newcastle_Stoke_2013,18,18,2013-12-26,2013,24,31,5,1,H,1,1,D,M Atkinson,27,11,8,3,10,8,8,2,1,1,0,2
174,Man City_Liverpool_2013,18,18,2013-12-26,2013,21,20,2,1,H,2,1,H,L Mason,20,12,6,5,10,9,7,6,1,3,0,0
175,Everton_Sunderland_2013,18,18,2013-12-26,2013,14,32,0,1,A,0,1,A,L Probert,26,13,9,6,11,7,11,2,1,0,1,0
176,Chelsea_Swansea_2013,18,18,2013-12-26,2013,11,33,1,0,H,1,0,H,M Jones,19,8,7,1,14,9,13,7,1,0,0,0
177,Cardiff_Southampton_2013,18,18,2013-12-26,2013,9,30,0,3,A,0,3,A,A Marriner,9,11,0,6,11,13,6,3,1,2,0,0
178,Aston Villa_Crystal Palace_2013,18,18,2013-12-26,2013,1,12,0,1,A,0,0,D,H Webb,10,12,4,7,11,8,7,5,2,2,0,0
179,Hull_Man United_2013,18,18,2013-12-26,2013,17,22,2,3,A,2,2,D,M Oliver,17,13,5,4,12,14,6,5,2,2,0,1
180,West Ham_West Brom_2013,19,19,2013-12-28,2013,37,36,3,3,D,1,2,A,M Dean,16,22,6,7,10,13,6,5,3,2,0,0
