,idGame,nWeekHome,nWeekAway,Date,year,IdHomeTeam,IdAwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
0,Man United_Leicester_2018,1,1,2018-08-10,2018,13,27,2,1,H,1,0,H,A Marriner,8,13,6,4,11,8,2,5,2,1,0,0
1,Bournemouth_Cardiff_2018,1,1,2018-08-11,2018,17,1,2,0,H,1,0,H,K Friend,12,10,4,1,11,9,7,4,1,1,0,0
2,Fulham_Crystal Palace_2018,1,1,2018-08-11,2018,16,24,0,2,A,0,1,A,M Dean,15,10,6,9,9,11,5,5,1,2,0,0
3,Huddersfield_Chelsea_2018,1,1,2018-08-11,2018,26,30,0,3,A,0,2,A,C Kavanagh,6,13,1,4,9,8,2,5,2,1,0,0
4,Newcastle_Tottenham_2018,1,1,2018-08-11,2018,9,6,1,2,A,1,2,A,M Atkinson,15,15,2,5,11,12,3,5,2,2,0,0
5,Watford_Brighton_2018,1,1,2018-08-11,2018,39,18,2,0,H,1,0,H,J Moss,19,6,5,0,10,16,8,2,2,2,0,0
6,Wolves_Everton_2018,1,1,2018-08-11,2018,4,8,2,2,D,1,1,D,C Pawson,11,6,4,5,8,7,3,6,0,1,0,1
7,Arsenal_Man City_2018,1,1,2018-08-12,2018,31,3,0,2,A,0,1,A,M Oliver,9,17,3,8,11,14,2,9,2,2,0,0
8,Liverpool_West Ham_2018,1,1,2018-08-12,2018,10,5,4,0,H,2,0,H,A Taylor,18,5,8,2,14,9,5,4,1,2,0,0
9,Southampton_Burnley_2018,1,1,2018-08-12,2018,12,11,0,0,D,0,0,D,G Scott,18,16,3,6,10,9,8,5,0,1,0,0
10,West Ham_Bournemouth_2018,2,2,2018-08-18,2018,5,17,1,2,A,1,0,H,S Attwell,11,12,5,5,14,10,6,4,6,2,0,0
11,Tottenham_Fulham_2018,2,2,2018-08-18,2018,6,16,3,1,H,1,0,H,A Taylor,25,10,11,3,9,5,5,2,0,0,0,0
12,Leicester_Wolves_2018,2,2,2018-08-18,2018,27,4,2,0,H,2,0,H,M Dean,6,11,2,3,10,8,1,9,2,1,1,0
13,Chelsea_Arsenal_2018,2,2,2018-08-18,2018,30,31,3,2,H,2,2,D,M Atkinson,24,15,11,6,12,9,5,1,0,2,0,0
14,Cardiff_Newcastle_2018,2,2,2018-08-18,2018,1,9,0,0,D,0,0,D,C Pawson,12,12,1,6,14,16,5,5,2,2,0,1
15,Everton_Southampton_2018,2,2,2018-08-18,2018,8,12,2,1,H,2,0,H,L Mason,13,15,7,4,8,20,2,5,0,5,0,0
16,Brighton_Man United_2018,2,2,2018-08-19,2018,18,13,3,2,H,3,1,H,K Friend,6,9,3,3,16,13,3,5,1,1,0,0
17,Burnley_Watford_2018,2,2,2018-08-19,2018,11,39,1,3,A,1,1,D,P Tierney,8,9,3,6,8,19,5,2,1,2,0,0
18,Man City_Huddersfield_2018,2,2,2018-08-19,2018,3,26,6,1,H,3,1,H,A Marriner,32,5,14,1,9,4,10,3,0,2,0,0
19,Crystal Palace_Liverpool_2018,2,2,2018-08-20,2018,24,10,0,2,A,0,1,A,M Oliver,8,16,2,6,6,13,6,7,1,1,1,0
20,Southampton_Leicester_2018,3,3,2018-08-25,2018,12,27,1,2,A,0,0,D,J Moss,11,8,5,5,13,11,10,3,1,1,1,0
21,Wolves_Man City_2018,3,3,2018-08-25,2018,4,3,1,1,D,0,0,D,M Atkinson,11,18,2,6,13,8,5,9,1,2,0,0
22,Liverpool_Brighton_2018,3,3,2018-08-25,2018,10,18,1,0,H,1,0,H,C Kavanagh,22,6,8,2,8,14,8,5,1,1,0,0
23,Bournemouth_Everton_2018,3,3,2018-08-25,2018,17,8,2,2,D,0,0,D,L Probert,17,11,5,3,12,10,6,2,0,3,1,1
24,Arsenal_West Ham_2018,3,3,2018-08-25,2018,31,5,3,1,H,1,1,D,G Scott,17,13,10,5,16,13,10,2,1,3,0,0
25,Huddersfield_Cardiff_2018,3,3,2018-08-25,2018,26,1,0,0,D,0,0,D,M Oliver,5,14,1,4,8,10,7,7,0,1,1,0
26,Fulham_Burnley_2018,3,3,2018-08-26,2018,16,11,4,2,H,3,2,H,D Coote,25,12,12,2,11,8,6,4,2,1,0,0
27,Newcastle_Chelsea_2018,3,3,2018-08-26,2018,9,30,1,2,A,0,0,D,P Tierney,6,15,2,3,16,8,4,5,3,1,0,0
28,Watford_Crystal Palace_2018,3,3,2018-08-26,2018,39,24,2,1,H,0,0,D,A Taylor,13,9,5,3,14,11,6,3,4,2,0,0
29,Man United_Tottenham_2018,3,3,2018-08-27,2018,13,6,0,3,A,0,0,D,C Pawson,23,9,5,5,11,16,5,2,2,4,0,0
30,Everton_Huddersfield_2018,4,4,2018-09-01,2018,8,26,1,1,D,1,1,D,S Attwell,11,9,1,6,13,14,4,3,3,3,0,0
31,Brighton_Fulham_2018,4,4,2018-09-01,2018,18,16,2,2,D,0,1,A,L Probert,15,10,5,5,12,14,7,1,3,3,0,0
32,Chelsea_Bournemouth_2018,4,4,2018-09-01,2018,30,17,2,0,H,0,0,D,L Mason,24,8,6,1,10,7,7,6,2,2,0,0
33,Crystal Palace_Southampton_2018,4,4,2018-09-01,2018,24,12,0,2,A,0,0,D,M Atkinson,20,19,6,6,11,12,7,4,1,1,0,0
34,Leicester_Liverpool_2018,4,4,2018-09-01,2018,27,10,1,2,A,0,2,A,P Tierney,12,10,5,4,9,12,4,4,3,2,0,0
35,Man City_Newcastle_2018,4,4,2018-09-01,2018,3,9,2,1,H,1,1,D,K Friend,24,3,8,2,5,13,4,0,0,0,0,0
36,West Ham_Wolves_2018,4,4,2018-09-01,2018,5,4,0,1,A,0,0,D,C Kavanagh,13,15,3,6,10,11,4,4,2,1,0,0
37,Burnley_Man United_2018,4,4,2018-09-02,2018,11,13,0,2,A,0,2,A,J Moss,9,21,2,9,7,13,2,5,2,3,0,1
38,Cardiff_Arsenal_2018,4,4,2018-09-02,2018,1,31,2,3,A,1,1,D,A Taylor,14,17,3,11,12,14,3,9,3,4,0,0
39,Watford_Tottenham_2018,4,4,2018-09-02,2018,39,6,2,1,H,0,0,D,A Marriner,7,11,3,2,9,8,3,10,2,1,0,0
40,Newcastle_Arsenal_2018,5,5,2018-09-15,2018,9,31,1,2,A,0,0,D,L Probert,4,12,2,2,13,11,10,4,0,0,0,0
41,Watford_Man United_2018,5,5,2018-09-15,2018,39,13,1,2,A,0,2,A,M Dean,14,9,5,6,9,11,6,8,2,1,0,1
42,Man City_Fulham_2018,5,5,2018-09-15,2018,3,16,3,0,H,2,0,H,S Attwell,28,9,9,3,7,7,10,4,0,0,0,0
43,Tottenham_Liverpool_2018,5,5,2018-09-15,2018,6,10,1,2,A,0,1,A,M Oliver,11,17,3,10,17,16,5,4,0,0,0,0
44,Chelsea_Cardiff_2018,5,5,2018-09-15,2018,30,1,4,1,H,2,1,H,J Moss,18,6,7,2,8,10,5,4,0,0,0,0
45,Huddersfield_Crystal Palace_2018,5,5,2018-09-15,2018,26,24,0,1,A,0,1,A,L Mason,15,7,2,2,11,17,5,3,1,2,0,0
46,Bournemouth_Leicester_2018,5,5,2018-09-15,2018,17,27,4,2,H,3,0,H,C Pawson,10,14,5,8,13,15,4,6,3,2,0,1
47,Everton_West Ham_2018,5,5,2018-09-16,2018,8,5,1,3,A,1,2,A,M Atkinson,16,9,4,4,15,12,4,2,2,5,0,0
