,Bb1X2,BbMxH,AvgCAHA,MaxC<2.5,MaxCAHH,Avg>2.5,IWCA,SOH,BbAv>2.5,BbMxAHA,VCCH,SOA,IWA,VCH,LBAHH,IdHomeTeam,Max>2.5,B365CD,IdAwayTeam,Avg<2.5,B365<2.5,SJD,BSH,MaxAHA,Time,B365CH,BbAvA,PSCD,BbAv<2.5,Date,MaxD,BWCD,PAHH,BbAvAHA,MaxC>2.5,BSD,SBD,WHCA,B365D,BbAvD,BWCA,BWH,AvgCD,LBAHA,VCA,GBD,PSCA,AvgCA,B365AH,MaxCH,B365CAHA,MaxCD,AvgA,LBD,IWD,GB<2.5,PCAHA,AvgC>2.5,GBAHH,nWeekHome,AHh,AvgAHA,PAHA,PSH,B365C<2.5,LBA,BSA,PCAHH,PC>2.5,WHCD,WHD,GBH,MaxCAHA,WHA,IWH,Max<2.5,B365H,MaxCA,WHH,VCCD,PC<2.5,P<2.5,AvgCAHH,PSD,MaxA,BbMx<2.5,idGame,GBAHA,IWCD,LBAH,AHCh,BbMxA,SOD,B365>2.5,AvgH,nWeekAway,BbAvAHH,SBH,VCD,BWD,IWCH,GBAH,BbMxD,BbOU,B365AHA,BbMx>2.5,GBA,BWCH,B365CA,BbAvH,P>2.5,WHCH,AvgCH,LBH,B365C>2.5,SJA,GB>2.5,PSA,AvgC<2.5,SJH,B365A,B365AHH,BbAHh,AvgD,SBA,VCCA,MaxAHH,year,B365CAHH,BWA,MaxH,AvgAHH,PSCH,BbAH,BbMxAHH
10,,,,,,,,2.38,,,,2.62,2.9,,2.05,39,,,10,,1.75,,,,,,,,,2003-08-23,,,,,,,3.2,,3.25,,,,,1.8,,3.3,,,0.0,,,,,3.2,3.0,1.85,,,2.05,2,,,,,,2.75,,,,,3.1,2.35,,2.8,2.2,,2.375,,2.25,,,,,,,,Wolves_Charlton_2003,1.75,,-0.25,,,3.2,2.05,,2,,2.25,,,,-0.25,,,2.1,,2.75,,,,,,,2.25,,,1.85,,,,2.7,1.8,,,2.8,,,2003,,,,,,,
11,,,,,,,,2.1,,,,3.0,3.2,,2.0,34,,,18,,1.85,,,,,,,,,2003-08-23,,,,,,,3.2,,3.25,,,,,1.85,,3.2,,,-0.25,,,,,3.2,3.1,1.85,,,2.0,2,,,,,,3.0,,,,,3.2,2.1,,3.0,2.0,,2.0,,2.1,,,,,,,,Tottenham_Leeds_2003,1.8,,-0.25,,,3.25,1.95,,2,,2.2,,,,-0.25,,,1.875,,3.3,,,,,,,2.1,,,1.85,,,,3.4,2.025,,,2.9,,,2003,,,,,,,
12,,,,,,,,1.91,,,,3.5,3.5,,2.0,30,,,2,,1.7,,,,,,,,,2003-08-23,,,,,,,3.2,,3.25,,,,,1.85,,3.2,,,-0.5,,,,,3.2,3.1,1.71,,,1.95,2,,,,,,3.2,,,,,3.2,2.0,,3.5,1.9,,1.909,,1.9,,,,,,,,Southampton_Birmingham_2003,1.85,,-0.5,,,3.25,2.1,,2,,1.9,,,,-0.5,,,1.9,,3.6,,,,,,,2.0,,,2.0,,,,3.75,2.0,,,3.6,,,2003,,,,,,,
13,,,,,,,,3.0,,,,2.2,2.1,,2.1,24,,,22,,2.1,,,,,,,,,2003-08-23,,,,,,,3.25,,3.2,,,,,1.75,,3.4,,,0.25,,,,,3.25,3.0,2.05,,,2.3,2,,,,,,2.2,,,,,3.1,3.1,,2.2,3.1,,3.0,,2.87,,,,,,,,Newcastle_Man United_2003,1.6,,0.25,,,3.4,1.7,,2,,3.0,,,,0.0,,,1.875,,2.1,,,,,,,2.75,,,1.65,,,,2.2,2.025,,,2.1,,,2003,,,,,,,
14,,,,,,,,1.22,,,,10.0,9.0,,1.75,11,,,19,,2.05,,,,,,,,,2003-08-23,,,,,,,5.0,,5.0,,,,,2.1,,5.0,,,-1.5,,,,,4.5,4.5,2.15,,,1.75,2,,,,,,10.0,,,,,5.0,1.26,,9.5,1.25,,1.25,,1.22,,,,,,,,Chelsea_Leicester_2003,2.05,,-1.5,,,5.0,1.75,,2,,1.25,,,,-1.5,,,2.125,,10.0,,,,,,,1.25,,,1.6,,,,10.0,1.775,,,9.0,,,2003,,,,,,,
15,,,,,,,,1.67,,,,4.5,3.8,,1.8,14,,,15,,1.7,,,,,,,,,2003-08-23,,,,,,,3.25,,3.4,,,,,2.05,,3.3,,,-0.5,,,,,3.4,3.1,1.79,,,1.8,2,,,,,,4.0,,,,,3.4,1.85,,4.0,1.8,,1.8,,1.72,,,,,,,,Everton_Fulham_2003,2.0,,-0.5,,,3.4,2.1,,2,,1.72,,,,-0.5,,,2.05,,4.0,,,,,,,1.727,,,1.9,,,,4.0,1.85,,,4.33,,,2003,,,,,,,
16,,,,,,,,2.5,,,,2.5,2.6,,1.95,5,,,3,,1.8,,,,,,,,,2003-08-23,,,,,,,3.2,,3.3,,,,,1.9,,3.25,,,0.0,,,,,3.25,3.0,1.85,,,1.9,2,,,,,,2.4,,,,,3.1,2.5,,2.5,2.4,,2.5,,2.5,,,,,,,,Bolton_Blackburn_2003,1.9,,0.0,,,3.2,2.0,,2,,2.4,,,,0.0,,,1.95,,2.6,,,,,,,2.5,,,1.85,,,,2.5,1.95,,,2.6,,,2003,,,,,,,
17,,,,,,,,1.67,,,,4.5,4.4,,1.8,21,,,26,,1.9,,,,,,,,,2003-08-23,,,,,,,3.4,,3.6,,,,,2.05,,3.4,,,-0.75,,,,,3.5,3.3,1.85,,,1.8,2,,,,,,4.5,,,,,3.4,1.67,,4.33,1.65,,1.6669999999999998,,1.66,,,,,,,,Man City_Portsmouth_2003,2.0,,-0.75,,,3.4,1.9,,2,,1.66,,,,-0.75,,,2.075,,5.0,,,,,,,1.615,,,1.85,,,,4.5,1.825,,,4.5,,,2003,,,,,,,
18,,,,,,,,3.0,,,,2.2,2.1,,,1,,,20,,1.75,,,,,,,,,2003-08-24,,,,,,,3.2,,3.2,,,,,,,3.3,,,0.25,,,,,3.25,3.0,1.85,,,1.95,2,,,,,,2.2,,,,,3.1,3.1,,2.1,3.1,,3.0,,3.1,,,,,,,,Aston Villa_Liverpool_2003,1.85,,,,,3.4,2.05,,2,,2.87,,,,0.25,,,1.95,,2.15,,,,,,,2.75,,,1.85,,,,2.2,1.95,,,2.2,,,2003,,,,,,,
19,,,,,,,,4.33,,,,1.8,1.8,,2.05,23,,,0,,1.85,,,,,,,,,2003-08-24,,,,,,,3.25,,3.4,,,,,1.8,,3.4,,,0.5,,,,,3.2,3.1,1.95,,,1.65,2,,,,,,1.8,,,,,3.25,4.4,,1.72,3.8,,4.0,,4.2,,,,,,,,Middlesbrough_Arsenal_2003,2.2,,0.5,,,3.4,1.95,,2,,4.33,,,,1.0,,,1.85,,1.75,,,,,,,4.0,,,1.75,,,,1.8,2.05,,,1.72,,,2003,,,,,,,
20,,,,,,,,1.91,,,,3.75,3.6,,2.0,3,,,21,,1.9,,,,,,,,,2003-08-25,,,,,,,3.25,,3.25,,,,,1.85,,3.2,,,-0.5,,,,,3.4,3.1,1.9,,,1.95,3,,,,,,3.0,,,,,3.2,2.0,,3.2,1.85,,2.0,,2.0,,,,,,,,Blackburn_Man City_2003,1.85,,-0.5,,,3.5,1.9,,3,,1.9,,,,-0.5,,,1.8,,3.5,,,,,,,2.0,,,1.79,,,,3.4,2.1,,,3.5,,,2003,,,,,,,
21,,,,,,,,2.0,,,,3.25,2.9,,1.8,26,,,5,,1.85,,,,,,,,,2003-08-26,,,,,,,3.25,,3.25,,,,,2.05,,3.25,,,,,,,,3.2,3.0,1.79,,,1.8,3,,,,,,3.0,,,,,3.2,2.1,,3.2,2.2,,2.1,,2.0,,,,,,,,Portsmouth_Bolton_2003,2.0,,-0.25,,,3.25,1.95,,3,,2.0,,,,-0.25,,,,,3.25,,,,,,,2.1,,,1.9,,,,3.2,,,,3.25,,,2003,,,,,,,
22,,,,,,,,2.25,,,,2.75,2.7,,1.8,19,,,23,,1.75,,,,,,,,,2003-08-26,,,,,,,3.2,,3.2,,,,,2.05,,3.25,,,,,,,,3.2,3.0,1.79,,,1.8,3,,,,,,2.6,,,,,3.1,2.4,,2.62,2.3,,2.5,,2.37,,,,,,,,Leicester_Middlesbrough_2003,2.0,,0.0,,,3.25,2.05,,3,,2.37,,,,0.0,,,,,2.7,,,,,,,2.375,,,1.9,,,,2.6,,,,2.62,,,2003,,,,,,,
23,,,,,,,,2.0,,,,3.25,3.5,,1.85,18,,,30,,1.8,,,,,,,,,2003-08-26,,,,,,,3.25,,3.25,,,,,2.0,,3.25,,,,,,,,3.4,3.1,1.85,,,1.8,3,,,,,,3.0,,,,,3.2,2.05,,3.2,1.9,,2.0,,2.0,,,,,,,,Leeds_Southampton_2003,2.0,,-0.25,,,3.25,2.0,,3,,2.0,,,,-0.25,,,,,3.35,,,,,,,2.0,,,1.85,,,,3.4,,,,3.25,,,2003,,,,,,,
24,,,,,,,,2.25,,,,2.75,2.9,,1.75,10,,,14,,1.85,,,,,,,,,2003-08-26,,,,,,,3.2,,3.2,,,,,2.1,,3.25,,,,,,,,3.2,3.0,1.9,,,1.75,3,,,,,,2.75,,,,,3.1,2.4,,2.6,2.2,,2.375,,2.4,,,,,,,,Charlton_Everton_2003,2.05,,0.0,,,3.25,1.95,,3,,2.3,,,,0.0,,,,,2.7,,,,,,,2.25,,,1.85,,,,2.75,,,,2.7,,,2003,,,,,,,
25,,,,,,,,1.25,,,,8.5,8.0,,2.05,0,,,1,,2.0,,,,,,,,,2003-08-27,,,,,,,5.0,,5.0,,,,,1.8,,5.0,,,-1.5,,,,,4.5,4.2,2.15,,,1.8,3,,,,,,10.0,,,,,4.5,1.26,,8.0,1.3,,1.286,,1.28,,,,,,,,Arsenal_Aston Villa_2003,2.0,,-1.75,,,5.0,1.8,,3,,1.25,,,,-1.5,,,2.025,,10.0,,,,,,,1.25,,,1.6,,,,8.5,1.875,,,8.5,,,2003,,,,,,,
26,,,,,,,,1.57,,,,5.5,4.8,,2.05,20,,,34,,1.85,,,,,,,,,2003-08-27,,,,,,,3.4,,3.5,,,,,1.8,,3.5,,,-1.0,,,,,3.5,3.5,1.9,,,2.0,3,,,,,,5.5,,,,,3.4,1.53,,6.0,1.55,,1.5,,1.5,,,,,,,,Liverpool_Tottenham_2003,1.8,,-1.0,,,3.4,1.95,,3,,1.53,,,,-1.0,,,1.8,,6.5,,,,,,,1.533,,,1.79,,,,7.0,2.1,,,6.0,,,2003,,,,,,,
