,idGame,Date,Referee,Id_Team_Home,Id_Team_Away,nWeekHome,nWeekAway,year,Goals_H,Goals_A,Prob_H_last_3,Prob_D_last_3,Prob_A_last_3,Prob_H_last_6,Prob_D_last_6,Prob_A_last_6,Prob_H_last_10,Prob_D_last_10,Prob_A_last_10,Prob_H_last_infinity,Prob_D_last_infinity,Prob_A_last_infinity,Average_H,Std_dev_H,Average_D,Std_dev_D,Average_A,Std_dev_A,Average_>2.5,Std_dev_>2.5,Average_<2.5,Std_dev_<2.5
0,Everton_Arsenal_2009,2009-08-15,M Halsey,8,31,1,1,2009,1,6,,,,,,,,,,,,,32.607,1.537,31.37,0.885,44.163,0.811,,,,
1,Chelsea_Hull_2009,2009-08-15,A Wiley,30,34,1,1,2009,2,1,,,,,,,,,,,,,84.757,1.007,16.809,1.161,6.305,1.211,,,,
2,Portsmouth_Fulham_2009,2009-08-15,M Atkinson,28,16,1,1,2009,0,1,,,,,,,,,,,,,39.62,2.218,31.252,0.23,37.248,1.137,,,,
3,Bolton_Sunderland_2009,2009-08-15,A Marriner,23,38,1,1,2009,0,1,,,,,,,,,,,,,44.977,1.309,31.155,0.307,31.991,1.235,,,,
4,Blackburn_Man City_2009,2009-08-15,M Dean,33,3,1,1,2009,0,2,,,,,,,,,,,,,30.288,1.61,31.107,0.328,46.881,1.497,,,,
5,Stoke_Burnley_2009,2009-08-15,S Bennett,22,11,1,1,2009,2,0,,,,,,,,,,,,,52.4,0.984,30.727,0.414,25.207,1.591,,,,
6,Aston Villa_Wigan_2009,2009-08-15,M Clattenburg,21,20,1,1,2009,0,2,,,,,,,,,,,,,59.893,0.932,28.922,0.806,19.441,1.338,,,,
7,Wolves_West Ham_2009,2009-08-15,C Foy,4,5,1,1,2009,0,2,,,,,,,,,,,,,39.51,1.18,31.014,0.465,37.736,1.098,,,,
8,Man United_Birmingham_2009,2009-08-16,L Mason,13,19,1,1,2009,1,0,,,,,,,,,,,,,83.902,0.937,17.512,0.753,6.753,1.295,,,,
9,Tottenham_Liverpool_2009,2009-08-16,P Dowd,6,10,1,1,2009,2,1,,,,,,,,,,,,,32.237,1.048,31.256,0.466,45.093,1.557,,,,
10,Wigan_Wolves_2009,2009-08-18,M Jones,20,4,2,2,2009,0,1,,,,,,,,,,,,,58.205,1.419,28.885,0.896,20.364,1.415,,,,
11,Sunderland_Chelsea_2009,2009-08-18,S Bennett,38,30,2,2,2009,1,3,,,,,,,,,,,,,14.932,0.921,26.853,1.138,65.91,1.576,,,,
12,Birmingham_Portsmouth_2009,2009-08-19,L Probert,19,28,2,2,2009,1,0,,,,,,,,,,,,,49.316,1.74,30.542,0.495,27.867,1.662,,,,
13,Hull_Tottenham_2009,2009-08-19,C Foy,34,6,2,2,2009,1,5,,,,,,,,,,,,,27.067,1.52,30.343,0.836,50.391,0.884,,,,
