,idGame,Date,Referee,Id_Team_Home,Id_Team_Away,nWeekHome,nWeekAway,year,Goals_H,Goals_A,Prob_H_last_3,Prob_D_last_3,Prob_A_last_3,Prob_H_last_6,Prob_D_last_6,Prob_A_last_6,Prob_H_last_10,Prob_D_last_10,Prob_A_last_10,Prob_H_last_infinity,Prob_D_last_infinity,Prob_A_last_infinity,Average_H,Std_dev_H,Average_D,Std_dev_D,Average_A,Std_dev_A,Average_>2.5,Std_dev_>2.5,Average_<2.5,Std_dev_<2.5
0,West Ham_Wigan_2008,2008-08-16,S Bennett,5,20,1,1,2008,2,1,,,,,,,,,,,,,53.307,1.37,30.511,0.877,25.575,1.32,,,,
1,Sunderland_Liverpool_2008,2008-08-16,A Wiley,38,10,1,1,2008,0,1,,,,,,,,,,,,,20.431,1.899,29.077,1.23,59.958,1.693,,,,
2,Bolton_Stoke_2008,2008-08-16,C Foy,23,22,1,1,2008,3,1,,,,,,,,,,,,,55.766,1.228,30.382,1.049,23.181,1.29,,,,
3,Middlesbrough_Tottenham_2008,2008-08-16,M Atkinson,25,6,1,1,2008,2,1,,,,,,,,,,,,,34.238,1.756,30.602,0.844,44.471,1.154,,,,
4,Hull_Fulham_2008,2008-08-16,P Walton,34,16,1,1,2008,2,1,,,,,,,,,,,,,40.001,1.482,31.295,1.28,37.908,1.556,,,,
5,Everton_Blackburn_2008,2008-08-16,A Marriner,8,33,1,1,2008,2,3,,,,,,,,,,,,,51.23,2.166,30.921,0.566,27.019,2.052,,,,
6,Arsenal_West Brom_2008,2008-08-16,H Webb,31,7,1,1,2008,1,0,,,,,,,,,,,,,82.804,1.433,18.219,1.407,8.293,0.938,,,,
7,Aston Villa_Man City_2008,2008-08-17,P Dowd,21,3,1,1,2008,4,2,,,,,,,,,,,,,52.297,1.158,30.559,0.905,26.44,2.276,,,,
8,Man United_Newcastle_2008,2008-08-17,M Riley,13,9,1,1,2008,1,1,,,,,,,,,,,,,78.393,1.43,20.786,1.663,10.04,1.156,,,,
9,Chelsea_Portsmouth_2008,2008-08-17,M Dean,30,28,1,1,2008,4,0,,,,,,,,,,,,,76.596,1.52,21.777,1.55,10.807,0.985,,,,
10,Tottenham_Sunderland_2008,2008-08-23,M Dean,6,38,2,2,2008,1,2,,,,,,,,,,,,,67.389,1.94,25.657,1.157,14.662,1.46,,,,
11,Blackburn_Hull_2008,2008-08-23,S Attwell,33,34,2,2,2008,1,1,,,,,,,,,,,,,63.227,1.041,27.609,0.844,16.91,1.906,,,,
12,Newcastle_Bolton_2008,2008-08-23,S Bennett,9,23,2,2,2008,1,0,,,,,,,,,,,,,56.277,1.472,29.434,0.846,21.914,0.89,,,,
13,Liverpool_Middlesbrough_2008,2008-08-23,M Riley,10,25,2,2,2008,2,1,,,,,,,,,,,,,72.593,1.394,22.975,1.214,12.194,1.58,,,,
14,Stoke_Aston Villa_2008,2008-08-23,M Halsey,22,21,2,2,2008,3,2,,,,,,,,,,,,,20.585,1.319,28.987,1.182,58.089,1.024,,,,
15,Fulham_Arsenal_2008,2008-08-23,M Atkinson,16,31,2,2,2008,1,0,,,,,,,,,,,,,16.767,1.424,27.555,1.156,63.423,0.903,,,,
16,West Brom_Everton_2008,2008-08-23,R Styles,7,8,2,2,2008,1,2,,,,,,,,,,,,,36.312,1.481,31.02,0.657,40.246,1.313,,,,
17,Man City_West Ham_2008,2008-08-24,H Webb,3,5,2,2,2008,3,0,,,,,,,,,,,,,44.987,1.494,30.918,0.455,31.657,1.479,,,,
