,idGame,Date,Referee,Id_Team_Home,Id_Team_Away,nWeekHome,nWeekAway,year,Goals_H,Goals_A,Prob_H_last_3,Prob_D_last_3,Prob_A_last_3,Prob_H_last_6,Prob_D_last_6,Prob_A_last_6,Prob_H_last_10,Prob_D_last_10,Prob_A_last_10,Prob_H_last_infinity,Prob_D_last_infinity,Prob_A_last_infinity,Average_H,Std_dev_H,Average_D,Std_dev_D,Average_A,Std_dev_A,Average_>2.5,Std_dev_>2.5,Average_<2.5,Std_dev_<2.5
33,Man City_Wigan_2011,2011-09-10,M Atkinson,3,20,4,4,2011,3,0,,,,,,,,,,0.0,100.0,0.0,85.276,1.518,15.216,1.582,6.469,1.208,,,,
34,Wolves_Tottenham_2011,2011-09-10,P Walton,4,6,4,3,2011,0,2,,,,,,,,,,60.382,0.248,0.0,35.055,1.583,30.542,0.495,41.252,0.821,,,,
35,Sunderland_Chelsea_2011,2011-09-10,L Probert,38,30,4,4,2011,1,2,,,,,,,,,,0.0,100.0,0.0,19.816,1.27,27.714,0.64,59.555,1.447,,,,
36,Fulham_Blackburn_2011,2011-09-11,H Webb,16,33,4,4,2011,1,1,,,,,,,,,,0.0,100.0,0.0,59.125,1.234,28.732,1.078,19.004,1.88,,,,
37,Norwich_West Brom_2011,2011-09-11,M Halsey,14,7,4,4,2011,0,1,,,,,,,,,,50.96,23.877,24.95,40.378,1.007,30.549,0.693,35.992,1.161,,,,
38,QPR_Newcastle_2011,2011-09-12,P Dowd,32,9,4,4,2011,0,0,,,,,,,,,,0.0,2.234,88.664,41.499,1.029,30.677,0.298,34.575,2.506,,,,
39,Swansea_West Brom_2011,2011-09-17,M Atkinson,0,7,5,5,2011,3,0,,,,,,,,,,0.0,100.0,0.0,38.549,1.547,31.286,1.167,36.634,1.351,,,,
40,Everton_Wigan_2011,2011-09-17,P Walton,8,20,4,5,2011,3,1,,,,,,,,,,64.504,35.486,0.0,65.215,1.357,26.675,1.133,15.151,2.07,,,,
41,Aston Villa_Newcastle_2011,2011-09-17,N Swarbrick,21,9,5,5,2011,1,1,,,,,,,,,,0.0,80.165,19.835,51.382,1.094,30.11,1.092,25.435,2.062,,,,
42,Bolton_Norwich_2011,2011-09-17,H Webb,23,14,5,5,2011,1,2,,,,,,,,,,10.632,11.926,70.576,57.252,1.658,28.669,1.395,21.041,1.465,,,,
43,Wolves_QPR_2011,2011-09-17,A Taylor,4,32,5,5,2011,0,3,,,,,,,,,,36.615,42.817,20.567,52.536,0.937,29.313,1.003,25.052,1.411,,,,
44,Blackburn_Arsenal_2011,2011-09-17,A Marriner,33,31,5,5,2011,4,3,,,,,,,,,,38.341,25.759,35.796,23.658,1.147,29.385,0.726,53.91,1.359,,,,
45,Fulham_Man City_2011,2011-09-18,M Clattenburg,16,3,5,5,2011,2,2,,,,,,,,,,13.625,27.376,58.935,16.507,1.28,26.445,0.853,64.079,1.124,,,,
46,Man United_Chelsea_2011,2011-09-18,P Dowd,13,30,5,5,2011,3,1,,,,,,,,,,65.452,21.156,13.049,55.306,1.307,28.563,1.016,22.928,1.082,,,,
47,Sunderland_Stoke_2011,2011-09-18,K Friend,38,22,5,5,2011,4,0,,,,,,,,,,6.024,34.941,59.024,41.988,0.552,31.161,0.555,33.612,2.067,,,,
48,Tottenham_Liverpool_2011,2011-09-18,M Jones,6,10,4,5,2011,4,0,,,,,,,,,,1.479,5.575,86.347,38.505,1.384,30.668,1.187,37.464,1.019,,,,
49,Liverpool_Wolves_2011,2011-09-24,K Friend,10,4,6,6,2011,2,1,,,,,,,,,,34.873,35.607,29.516,72.965,1.43,22.39,1.357,11.333,1.282,,,,
50,Arsenal_Bolton_2011,2011-09-24,M Clattenburg,31,23,6,6,2011,3,0,,,,,,,,,,11.827,21.319,66.553,69.745,0.908,23.524,1.28,13.499,1.074,,,,
51,West Brom_Fulham_2011,2011-09-24,S Attwell,7,16,6,6,2011,0,0,,,,,,,,,,39.406,37.897,22.694,43.587,0.814,30.87,0.435,32.555,1.787,,,,
52,Newcastle_Blackburn_2011,2011-09-24,M Atkinson,9,33,6,6,2011,3,1,,,,,,,,,,69.695,22.426,7.712,53.763,1.307,29.405,1.096,23.589,1.762,,,,
53,Stoke_Man United_2011,2011-09-24,P Walton,22,13,6,6,2011,1,1,,,,,,,,,,18.813,81.187,0.0,15.899,1.188,25.465,0.755,65.628,0.904,,,,
54,Wigan_Tottenham_2011,2011-09-24,J Moss,20,6,6,5,2011,1,2,,,,,,,,,,73.876,19.329,6.475,26.138,1.875,29.602,0.721,51.382,1.094,,,,
55,Chelsea_Swansea_2011,2011-09-24,M Dean,30,0,6,6,2011,4,1,,,,,,,,,,72.57,0.547,0.0,83.765,1.112,16.076,1.257,6.899,0.981,,,,
56,Man City_Everton_2011,2011-09-24,H Webb,3,8,6,5,2011,2,0,,,,,,,,,,0.0,100.0,0.0,70.911,1.777,23.349,1.241,12.832,0.86,,,,
57,QPR_Aston Villa_2011,2011-09-25,M Oliver,32,21,6,6,2011,1,1,,,,,,,,,,0.0,20.192,79.674,43.021,1.186,30.921,0.566,32.704,2.231,,,,
58,Norwich_Sunderland_2011,2011-09-26,C Foy,14,38,6,6,2011,2,1,,,,,,,,,,12.862,59.205,27.933,40.359,1.272,30.692,0.77,35.592,1.3,,,,
59,Everton_Liverpool_2011,2011-10-01,M Atkinson,8,10,6,7,2011,0,2,64.774,21.6,13.32,,,,,,,68.843,19.228,11.39,34.04,1.533,31.058,0.248,40.997,0.767,,,,
60,Wolves_Newcastle_2011,2011-10-01,M Halsey,4,9,7,7,2011,1,2,6.079,40.771,53.147,,,,,,,6.748,40.74,52.508,41.233,0.772,30.822,0.415,34.316,1.331,,,,
61,Blackburn_Man City_2011,2011-10-01,P Dowd,33,3,7,7,2011,0,4,6.376,6.98,59.472,,,,,,,7.846,7.802,57.375,16.893,1.789,25.838,1.349,63.96,1.228,,,,
62,Aston Villa_Wigan_2011,2011-10-01,M Clattenburg,21,20,7,7,2011,2,0,77.597,19.042,3.126,,,,,,,80.918,16.075,2.589,61.77,1.679,27.033,1.126,17.497,1.905,,,,
63,Man United_Norwich_2011,2011-10-01,S Attwell,13,14,7,7,2011,2,0,67.234,3.909,2.18,,,,,,,60.052,2.72,1.426,86.069,0.979,14.128,1.137,6.282,0.922,,,,
64,Sunderland_West Brom_2011,2011-10-01,L Mason,38,7,7,7,2011,2,2,69.358,20.674,9.663,,,,,,,73.198,18.092,8.171,45.519,1.851,30.222,0.595,30.556,0.868,,,,
65,Tottenham_Arsenal_2011,2011-10-02,M Dean,6,31,6,7,2011,2,1,,,,,,,,,,28.127,6.405,7.382,46.854,0.894,29.469,0.668,30.127,1.864,,,,
66,Bolton_Chelsea_2011,2011-10-02,P Walton,23,30,7,7,2011,1,5,9.835,15.678,73.07,,,,,,,9.065,13.381,74.69,15.659,0.773,25.135,1.049,65.636,1.2,,,,
67,Swansea_Stoke_2011,2011-10-02,M Jones,0,22,7,7,2011,2,0,63.233,36.758,0.0,,,,,,,68.795,31.184,0.0,38.379,0.934,31.064,0.526,36.964,1.222,,,,
68,Fulham_QPR_2011,2011-10-02,A Marriner,16,32,7,7,2011,6,0,14.638,35.596,49.757,,,,,,,14.913,31.873,53.194,51.183,1.856,29.437,0.898,25.494,0.684,,,,
69,Liverpool_Man United_2011,2011-10-15,A Marriner,10,13,8,8,2011,1,1,10.704,16.766,71.431,,,,,,,13.002,18.158,67.955,33.712,1.942,30.948,1.137,41.255,0.908,,,,
70,Norwich_Swansea_2011,2011-10-15,J Moss,14,0,8,8,2011,3,1,74.194,20.1,5.466,,,,,,,77.918,17.249,4.417,45.882,0.752,30.402,0.475,30.389,1.157,,,,
71,Stoke_Fulham_2011,2011-10-15,M Atkinson,22,16,8,8,2011,2,0,38.107,56.315,5.578,,,,,,,41.294,53.624,5.082,47.795,1.822,30.963,0.333,27.825,1.213,,,,
72,Wigan_Bolton_2011,2011-10-15,M Dean,20,23,8,8,2011,1,3,39.873,23.998,35.92,,,,,,,45.038,23.258,31.421,43.723,0.901,30.45,0.536,32.221,1.598,,,,
73,Chelsea_Everton_2011,2011-10-15,M Jones,30,8,8,7,2011,3,1,,,,,,,,,,74.053,18.536,6.995,74.451,0.769,21.427,0.922,10.88,1.191,,,,
74,QPR_Blackburn_2011,2011-10-15,M Clattenburg,32,33,8,8,2011,1,1,11.182,25.864,62.866,,,,,,,13.041,27.047,59.844,53.856,1.425,29.249,0.542,23.499,1.797,,,,
75,Man City_Aston Villa_2011,2011-10-15,A Taylor,3,21,8,8,2011,4,1,82.83,16.932,0.0,,,,,,,85.608,13.977,0.0,74.506,0.759,21.292,1.107,11.075,1.118,,,,
76,West Brom_Wolves_2011,2011-10-16,C Foy,7,4,8,8,2011,2,0,8.045,38.414,53.535,,,,,,,8.624,40.272,51.1,49.646,1.002,29.961,0.839,26.944,1.78,,,,
77,Newcastle_Tottenham_2011,2011-10-16,L Probert,9,6,8,7,2011,2,2,49.964,27.494,22.48,,,,,,,52.066,27.227,20.638,35.407,1.676,30.056,0.913,40.997,0.767,,,,
78,Arsenal_Sunderland_2011,2011-10-16,H Webb,31,38,8,8,2011,2,1,43.043,39.496,17.459,,,,,,,44.424,39.376,16.197,70.187,0.968,23.338,1.156,13.31,0.998,,,,
79,Newcastle_Wigan_2011,2011-10-22,N Swarbrick,9,20,9,9,2011,1,0,85.057,4.77,1.338,,,,,,,82.99,13.623,2.634,63.058,0.852,26.886,1.096,16.839,1.436,,,,
80,Aston Villa_West Brom_2011,2011-10-22,P Dowd,21,7,9,9,2011,1,2,53.862,35.82,10.309,,,,,,,67.785,22.984,9.071,50.377,1.181,30.359,0.587,26.162,1.656,,,,
81,Wolves_Swansea_2011,2011-10-22,M Oliver,4,0,9,9,2011,2,2,14.698,28.339,56.913,,,,,,,52.996,27.259,19.677,50.242,0.948,29.605,0.78,26.799,1.345,,,,
82,Liverpool_Norwich_2011,2011-10-22,P Walton,10,14,9,9,2011,1,1,70.589,16.722,11.465,,,,,,,62.292,21.427,15.906,76.845,0.933,19.926,1.188,9.815,1.298,,,,
83,Bolton_Sunderland_2011,2011-10-22,M Jones,23,38,9,9,2011,0,2,6.991,15.555,76.49,,,,,,,10.461,16.563,71.835,45.689,1.174,30.781,0.618,30.139,1.492,,,,
84,Fulham_Everton_2011,2011-10-23,L Probert,16,8,9,8,2011,1,3,81.99,9.908,4.41,,,,,,,79.372,14.388,5.228,42.682,0.967,31.082,0.964,32.921,2.05,,,,
85,Man United_Man City_2011,2011-10-23,M Clattenburg,13,3,9,9,2011,1,6,30.187,16.248,46.873,,,,,,,52.067,16.599,26.614,48.444,0.977,30.045,0.696,27.909,1.297,,,,
86,QPR_Chelsea_2011,2011-10-23,C Foy,32,30,9,9,2011,1,0,15.843,24.868,59.158,,,,,,,3.829,11.866,82.701,11.89,1.301,21.848,1.361,73.158,1.301,,,,
87,Blackburn_Tottenham_2011,2011-10-23,S Attwell,33,6,9,8,2011,1,2,1.939,4.067,73.646,,,,,,,10.188,12.735,72.569,25.098,1.42,28.511,0.829,53.283,1.451,,,,
88,Arsenal_Stoke_2011,2011-10-23,L Mason,31,22,9,9,2011,3,1,88.0,9.823,0.897,,,,,,,70.393,22.653,6.806,64.31,0.999,26.212,1.402,16.121,1.564,,,,
89,Swansea_Bolton_2011,2011-10-29,M Clattenburg,0,23,10,10,2011,3,1,88.565,10.611,0.0,,,,,,,74.532,25.413,0.0,47.863,0.922,30.099,0.88,28.449,1.637,,,,
90,Everton_Man United_2011,2011-10-29,M Halsey,8,13,9,10,2011,0,1,4.042,8.77,82.016,,,,,,,5.414,11.889,80.362,22.489,1.64,28.374,1.19,55.907,1.577,,,,
91,Wigan_Fulham_2011,2011-10-29,M Jones,20,16,10,10,2011,0,2,48.558,34.726,16.707,,,,,,,58.63,31.685,9.663,35.284,1.683,30.922,0.608,40.248,0.561,,,,
92,Chelsea_Arsenal_2011,2011-10-29,A Marriner,30,31,10,10,2011,3,5,19.673,0.812,0.466,,,,,,,48.201,2.062,1.152,61.706,1.141,26.506,1.23,18.345,1.285,,,,
93,Man City_Wolves_2011,2011-10-29,S Attwell,3,4,10,10,2011,3,1,86.887,11.194,0.983,,,,,,,87.461,9.639,1.352,86.069,0.979,14.47,1.246,5.951,0.783,,,,
94,Sunderland_Aston Villa_2011,2011-10-29,C Foy,38,21,10,10,2011,2,2,65.753,14.747,15.357,,,,,,,57.758,21.996,19.874,46.209,1.009,30.543,0.544,29.488,1.577,,,,
95,Norwich_Blackburn_2011,2011-10-29,A Taylor,14,33,10,10,2011,3,3,55.116,24.929,19.815,,,,,,,62.032,21.833,15.807,51.303,1.099,29.026,1.16,26.187,1.126,,,,
96,West Brom_Liverpool_2011,2011-10-29,L Mason,7,10,10,10,2011,0,2,41.52,48.93,9.55,,,,,,,28.123,41.879,29.997,26.67,1.534,30.069,1.143,49.524,1.028,,,,
97,Tottenham_QPR_2011,2011-10-30,H Webb,6,32,9,10,2011,3,1,65.284,13.83,15.008,,,,,,,58.807,17.157,21.412,73.118,1.218,21.478,1.28,11.772,1.054,,,,
98,Stoke_Newcastle_2011,2011-10-31,M Dean,22,9,10,10,2011,1,3,30.933,53.474,15.594,,,,,,,21.575,63.887,14.538,46.748,0.996,30.922,0.608,28.708,2.146,,,,
99,Man United_Sunderland_2011,2011-11-05,L Mason,13,38,11,11,2011,1,0,22.739,19.541,56.666,,,,,,,51.57,21.029,26.737,81.44,1.352,17.181,1.368,7.895,0.845,,,,
100,Arsenal_West Brom_2011,2011-11-05,M Oliver,31,7,11,11,2011,3,0,79.416,11.889,6.01,,,,,,,60.846,22.841,16.071,71.286,0.894,22.184,1.099,12.973,0.955,,,,
101,Aston Villa_Norwich_2011,2011-11-05,K Friend,21,14,11,11,2011,3,2,38.579,33.846,27.568,,,,,,,54.561,27.787,17.593,54.603,1.032,28.675,0.83,23.264,1.477,,,,
102,QPR_Man City_2011,2011-11-05,M Atkinson,32,3,11,11,2011,2,3,8.779,18.825,71.928,,,,,,,1.479,4.685,83.654,10.951,1.193,20.511,0.97,74.976,1.581,,,,
103,Newcastle_Everton_2011,2011-11-05,A Marriner,9,8,11,10,2011,2,1,62.885,19.877,16.582,,,,,,,52.87,26.395,20.645,44.518,1.293,30.636,0.534,31.192,1.174,,,,
104,Blackburn_Chelsea_2011,2011-11-05,M Dean,33,30,11,11,2011,0,1,6.623,7.997,68.381,,,,,,,7.276,11.566,77.105,14.315,0.685,23.22,1.012,69.118,1.473,,,,
105,Liverpool_Swansea_2011,2011-11-05,P Dowd,10,0,11,11,2011,0,0,62.811,19.913,16.626,,,,,,,79.002,12.454,6.237,77.13,1.563,19.497,1.605,9.859,0.787,,,,
106,Fulham_Tottenham_2011,2011-11-06,P Walton,16,6,11,10,2011,1,3,32.205,18.754,46.935,,,,,,,42.035,22.982,34.661,31.575,1.762,30.366,0.764,44.374,1.185,,,,
107,Wolves_Wigan_2011,2011-11-06,L Probert,4,20,11,11,2011,3,1,46.463,33.374,20.151,,,,,,,57.151,33.178,9.655,53.265,1.628,29.707,1.066,23.499,1.231,,,,
108,Bolton_Stoke_2011,2011-11-06,H Webb,23,22,11,11,2011,5,0,42.156,32.225,25.606,,,,,,,22.615,24.494,52.724,41.631,0.875,30.539,0.402,34.136,1.557,,,,
109,Stoke_QPR_2011,2011-11-19,M Jones,22,32,12,12,2011,2,3,57.327,20.771,21.29,,,,,,,54.567,28.505,16.88,56.076,1.173,28.632,0.798,21.858,0.761,,,,
110,West Brom_Bolton_2011,2011-11-19,N Swarbrick,7,23,12,12,2011,2,1,37.64,37.485,24.873,,,,,,,20.021,27.987,51.937,50.141,0.925,29.55,0.505,26.768,1.445,,,,
111,Man City_Newcastle_2011,2011-11-19,C Foy,3,9,12,12,2011,3,1,52.783,25.274,21.815,,,,,,,54.792,31.746,13.441,77.057,1.169,19.091,1.32,10.389,1.165,,,,
112,Swansea_Man United_2011,2011-11-19,M Dean,0,13,12,12,2011,0,1,53.241,38.076,8.678,,,,,,,35.345,48.77,15.884,14.861,1.257,24.719,0.883,67.143,1.47,,,,
113,Norwich_Arsenal_2011,2011-11-19,P Dowd,14,31,12,12,2011,1,2,41.235,13.823,26.409,,,,,,,55.561,14.281,20.854,19.809,1.689,27.634,1.221,59.049,1.048,,,,
114,Everton_Wolves_2011,2011-11-19,J Moss,8,4,11,12,2011,2,1,51.26,30.303,18.408,,,,,,,37.087,32.549,30.354,62.907,1.345,27.196,0.825,16.562,2.173,,,,
115,Wigan_Blackburn_2011,2011-11-19,A Marriner,20,33,12,12,2011,3,3,9.16,14.551,74.394,,,,,,,30.239,23.72,45.807,40.663,0.765,30.584,0.329,35.469,0.906,,,,
116,Sunderland_Fulham_2011,2011-11-19,A Taylor,38,16,12,12,2011,0,0,42.007,35.231,22.755,,,,,,,52.999,28.863,18.095,43.145,1.057,30.968,0.527,32.29,1.057,,,,
117,Chelsea_Liverpool_2011,2011-11-20,L Probert,30,10,12,12,2011,1,2,45.33,19.494,33.647,,,,,,,43.701,22.366,33.516,54.581,1.831,29.342,1.42,22.382,0.639,,,,
118,Tottenham_Aston Villa_2011,2011-11-21,M Halsey,6,21,11,12,2011,2,0,82.469,6.51,2.723,,,,,,,60.487,17.153,19.993,65.189,0.946,24.743,1.451,16.381,1.313,,,,
119,Norwich_QPR_2011,2011-11-26,M Clattenburg,14,32,13,13,2011,2,1,65.132,9.659,9.536,55.748,20.247,23.193,,,,51.921,20.565,26.709,45.892,1.032,29.699,0.905,30.881,1.471,,,,
120,Arsenal_Fulham_2011,2011-11-26,M Dean,31,16,13,13,2011,1,1,49.973,38.293,11.73,62.481,30.565,6.926,,,,61.162,30.992,7.822,69.714,1.454,23.726,0.826,13.396,0.987,,,,
121,Sunderland_Wigan_2011,2011-11-26,K Friend,38,20,13,13,2011,1,2,64.711,27.457,7.777,75.945,19.101,4.676,,,,74.641,19.734,5.366,59.507,1.122,27.884,0.941,19.352,1.541,,,,
122,Man United_Newcastle_2011,2011-11-26,M Jones,13,9,13,13,2011,1,1,13.974,16.233,67.841,48.054,22.818,28.795,,,,44.285,22.703,32.652,73.336,1.774,21.418,0.985,11.632,1.002,,,,
123,Bolton_Everton_2011,2011-11-26,M Oliver,23,8,13,12,2011,0,2,30.546,18.559,48.689,,,,,,,19.82,17.842,60.577,34.075,1.537,30.407,0.642,42.165,0.564,,,,
124,West Brom_Tottenham_2011,2011-11-26,L Probert,7,6,13,12,2011,1,3,22.0,25.527,52.355,19.917,29.679,50.371,,,,17.706,27.594,54.638,25.864,1.707,28.457,1.225,52.515,1.116,,,,
125,Chelsea_Wolves_2011,2011-11-26,L Mason,30,4,13,13,2011,3,0,68.24,15.622,13.738,70.531,15.365,11.981,,,,67.623,16.225,14.155,81.834,1.121,16.901,1.12,7.905,1.032,,,,
126,Stoke_Blackburn_2011,2011-11-26,M Halsey,22,33,13,13,2011,3,1,22.926,16.267,56.463,44.862,23.972,30.954,,,,41.183,23.673,34.904,55.541,0.997,28.744,0.522,22.01,1.686,,,,
127,Swansea_Aston Villa_2011,2011-11-27,N Swarbrick,0,21,13,13,2011,0,0,78.084,15.248,5.798,69.11,24.714,6.086,,,,68.302,25.444,6.176,44.848,0.522,30.229,0.75,31.337,1.757,,,,
128,Liverpool_Man City_2011,2011-11-27,M Atkinson,10,3,13,13,2011,1,1,5.62,18.247,75.753,14.784,17.398,66.444,,,,14.748,17.665,66.345,35.857,1.042,30.55,0.729,40.199,1.548,,,,
129,Tottenham_Bolton_2011,2011-12-03,S Attwell,6,23,13,14,2011,3,0,75.795,14.404,8.121,,,,,,,58.693,16.671,21.399,76.62,1.341,20.134,1.094,9.986,1.624,,,,
130,Blackburn_Swansea_2011,2011-12-03,C Foy,33,0,14,14,2011,4,2,7.223,24.809,67.874,42.446,26.758,30.723,,,,44.38,26.429,29.108,46.431,1.177,30.176,0.565,29.937,1.191,,,,
131,Man City_Norwich_2011,2011-12-03,H Webb,3,14,14,14,2011,5,1,82.008,6.819,3.006,85.004,6.794,2.287,,,,84.999,6.124,1.997,84.572,1.096,15.439,1.415,6.567,0.772,,,,
132,Wigan_Arsenal_2011,2011-12-03,M Clattenburg,20,31,14,14,2011,0,4,6.128,7.564,68.043,28.659,16.806,49.789,,,,30.877,17.072,47.486,16.709,0.725,25.869,0.907,64.235,0.788,,,,
133,QPR_West Brom_2011,2011-12-03,M Atkinson,32,7,14,14,2011,1,1,44.829,25.841,29.226,28.131,29.966,41.878,,,,29.659,30.069,40.25,44.651,0.63,30.638,0.579,31.234,1.072,,,,
134,Aston Villa_Man United_2011,2011-12-03,L Probert,21,13,14,14,2011,0,1,14.997,39.379,45.621,12.823,27.122,59.989,,,,13.62,27.701,58.621,19.606,1.611,27.784,1.176,59.25,1.701,,,,
