,idGame,Date,Referee,Id_Team_Home,Id_Team_Away,nWeekHome,nWeekAway,year,Goals_H,Goals_A,Prob_H_last_3,Prob_D_last_3,Prob_A_last_3,Prob_H_last_6,Prob_D_last_6,Prob_A_last_6,Prob_H_last_10,Prob_D_last_10,Prob_A_last_10,Prob_H_last_infinity,Prob_D_last_infinity,Prob_A_last_infinity,Average_H,Std_dev_H,Average_D,Std_dev_D,Average_A,Std_dev_A,Average_>2.5,Std_dev_>2.5,Average_<2.5,Std_dev_<2.5
0,Everton_Watford_2006,2006-08-19,P Walton,8,39,1,1,2006,2,1,,,,,,,,,,,,,61.514,1.623,29.382,0.77,18.981,1.901,,,,
1,Newcastle_Wigan_2006,2006-08-19,M Atkinson,9,20,1,1,2006,2,1,,,,,,,,,,,,,59.427,1.199,29.496,1.102,20.859,1.466,,,,
2,Arsenal_Aston Villa_2006,2006-08-19,G Poll,31,21,1,1,2006,1,1,,,,,,,,,,,,,78.0,0.96,21.963,1.525,9.914,1.462,,,,
3,West Ham_Charlton_2006,2006-08-19,H Webb,5,29,1,1,2006,3,1,,,,,,,,,,,,,50.019,1.625,31.421,0.5,28.467,1.578,,,,
4,Portsmouth_Blackburn_2006,2006-08-19,A Wiley,28,33,1,1,2006,3,0,,,,,,,,,,,,,42.665,1.861,31.591,0.659,35.473,1.796,,,,
5,Bolton_Tottenham_2006,2006-08-19,P Dowd,23,6,1,1,2006,2,0,,,,,,,,,,,,,38.545,1.21,31.479,0.616,39.498,1.051,,,,
6,Reading_Middlesbrough_2006,2006-08-19,M Halsey,36,25,1,1,2006,3,2,,,,,,,,,,,,,41.31,1.985,31.645,0.602,36.76,1.042,,,,
7,Sheffield United_Liverpool_2006,2006-08-19,R Styles,15,10,1,1,2006,1,1,,,,,,,,,,,,,17.55,1.692,28.026,1.0,64.391,0.962,,,,
8,Man United_Fulham_2006,2006-08-20,A Marriner,13,16,1,1,2006,5,1,,,,,,,,,,,,,79.265,1.888,20.725,1.981,9.894,1.31,,,,
9,Chelsea_Man City_2006,2006-08-20,S Bennett,30,3,1,1,2006,3,0,,,,,,,,,,,,,82.356,1.117,18.914,1.342,8.489,1.056,,,,
10,Tottenham_Sheffield United_2006,2006-08-22,P Walton,6,15,2,2,2006,2,0,,,,,,,,,,,,,68.614,2.287,26.686,1.344,14.556,1.577,,,,
11,Watford_West Ham_2006,2006-08-22,M Atkinson,39,5,2,2,2006,1,1,,,,,,,,,,,,,38.094,1.718,31.367,0.544,40.272,1.343,,,,
12,Man City_Portsmouth_2006,2006-08-23,D Gallagher,3,28,2,2,2006,0,0,,,,,,,,,,,,,47.598,2.383,31.591,0.659,30.928,2.762,,,,
13,Middlesbrough_Chelsea_2006,2006-08-23,H Webb,25,30,2,2,2006,2,1,,,,,,,,,,,,,14.127,1.951,26.654,0.903,69.197,1.214,,,,
14,Charlton_Man United_2006,2006-08-23,C Foy,29,13,2,2,2006,0,3,,,,,,,,,,,,,16.552,2.626,28.598,0.93,64.586,1.309,,,,
15,Fulham_Bolton_2006,2006-08-23,A Wiley,16,23,2,2,2006,1,1,,,,,,,,,,,,,42.609,1.629,31.481,0.662,35.622,1.393,,,,
16,Aston Villa_Reading_2006,2006-08-23,L Mason,21,36,2,2,2006,2,1,,,,,,,,,,,,,54.708,1.984,30.828,0.44,24.606,1.773,,,,
17,Blackburn_Everton_2006,2006-08-23,U Rennie,33,8,2,2,2006,1,1,,,,,,,,,,,,,45.962,1.491,31.533,0.566,32.288,1.042,,,,
18,Man City_Arsenal_2006,2006-08-26,U Rennie,3,31,3,2,2006,1,0,,,,,,,,,,,,,20.923,1.638,29.464,1.344,59.722,1.643,,,,
19,Wigan_Reading_2006,2006-08-26,M Riley,20,36,2,3,2006,1,0,,,,,,,,,,,,,51.536,1.687,31.152,0.588,27.542,2.126,,,,
20,Charlton_Bolton_2006,2006-08-26,M Dean,29,23,3,3,2006,2,0,,,,,,,,,,0.0,4.977,91.67,41.744,0.962,31.645,0.602,36.666,1.209,,,,
21,Liverpool_West Ham_2006,2006-08-26,A Wiley,10,5,2,3,2006,2,1,,,,,,,,,,,,,70.734,1.683,25.538,1.502,13.839,1.309,,,,
22,Watford_Man United_2006,2006-08-26,P Dowd,39,13,3,3,2006,1,2,,,,,,,,,,0.0,4.977,91.67,13.544,0.895,24.988,1.798,71.682,1.453,,,,
23,Tottenham_Everton_2006,2006-08-26,M Halsey,6,8,3,3,2006,0,2,,,,,,,,,,81.789,18.014,0.0,59.078,1.228,29.715,0.618,21.436,1.076,,,,
