,idGame,Date,Referee,Id_Team_Home,Id_Team_Away,nWeekHome,nWeekAway,year,Goals_H,Goals_A,Prob_H_last_3,Prob_D_last_3,Prob_A_last_3,Prob_H_last_6,Prob_D_last_6,Prob_A_last_6,Prob_H_last_10,Prob_D_last_10,Prob_A_last_10,Prob_H_last_infinity,Prob_D_last_infinity,Prob_A_last_infinity,Average_H,Std_dev_H,Average_D,Std_dev_D,Average_A,Std_dev_A,Average_>2.5,Std_dev_>2.5,Average_<2.5,Std_dev_<2.5
0,Man United_Tottenham_2015,2015-08-08,J Moss,13,6,1,1,2015,1,0,,,,,,,,,,,,,60.559,0.619,25.715,1.423,17.664,1.072,,,,
1,Norwich_Crystal Palace_2015,2015-08-08,S Hooper,14,24,1,1,2015,1,3,,,,,,,,,,,,,39.16,1.225,30.99,0.778,34.352,1.502,,,,
2,Bournemouth_Aston Villa_2015,2015-08-08,M Clattenburg,17,21,1,1,2015,0,1,,,,,,,,,,,,,50.005,1.547,29.032,1.259,25.651,2.352,,,,
3,Everton_Watford_2015,2015-08-08,M Jones,8,39,1,1,2015,2,2,,,,,,,,,,,,,58.292,0.699,26.834,1.434,19.396,1.255,,,,
4,Leicester_Sunderland_2015,2015-08-08,L Mason,27,38,1,1,2015,4,2,,,,,,,,,,,,,50.219,0.478,29.856,1.256,26.36,5.082,,,,
5,Chelsea_Swansea_2015,2015-08-08,M Oliver,30,0,1,1,2015,2,2,,,,,,,,,,,,,72.339,1.472,21.348,1.786,10.343,0.987,,,,
6,Newcastle_Southampton_2015,2015-08-09,C Pawson,9,12,1,1,2015,2,2,,,,,,,,,,,,,35.625,1.273,30.889,0.96,37.587,1.236,,,,
7,Stoke_Liverpool_2015,2015-08-09,A Taylor,22,10,1,1,2015,0,1,,,,,,,,,,,,,30.43,1.962,30.0,1.12,43.616,0.365,,,,
8,Arsenal_West Ham_2015,2015-08-09,M Atkinson,31,5,1,1,2015,0,2,,,,,,,,,,,,,76.933,0.958,18.265,1.552,9.142,1.367,,,,
9,West Brom_Man City_2015,2015-08-10,M Dean,7,3,1,1,2015,0,3,,,,,,,,,,,,,18.57,1.321,26.163,1.516,59.735,0.738,,,,
10,Aston Villa_Man United_2015,2015-08-14,M Dean,21,13,2,2,2015,0,1,,,,,,,,,,,,,18.628,0.956,26.963,0.779,57.865,0.975,,,,
11,Southampton_Everton_2015,2015-08-15,M Oliver,12,8,2,2,2015,0,3,,,,,,,,,,,,,50.098,1.234,29.289,1.453,24.548,2.268,,,,
12,Tottenham_Stoke_2015,2015-08-15,R Madley,6,22,2,2,2015,2,2,,,,,,,,,,,,,56.067,1.221,27.448,1.319,20.909,1.651,,,,
13,West Ham_Leicester_2015,2015-08-15,A Taylor,5,27,2,2,2015,1,2,,,,,,,,,,,,,44.451,0.571,29.681,1.256,30.064,1.293,,,,
14,Sunderland_Norwich_2015,2015-08-15,K Friend,38,14,2,2,2015,1,3,,,,,,,,,,,,,40.578,1.486,31.086,1.279,32.571,1.047,,,,
15,Swansea_Newcastle_2015,2015-08-15,M Jones,0,9,2,2,2015,2,0,,,,,,,,,,,,,51.513,0.503,28.608,1.301,24.242,1.691,,,,
