,idGame,Date,Referee,Id_Team_Home,Id_Team_Away,nWeekHome,nWeekAway,year,Goals_H,Goals_A,Prob_H_last_3,Prob_D_last_3,Prob_A_last_3,Prob_H_last_6,Prob_D_last_6,Prob_A_last_6,Prob_H_last_10,Prob_D_last_10,Prob_A_last_10,Prob_H_last_infinity,Prob_D_last_infinity,Prob_A_last_infinity,Average_H,Std_dev_H,Average_D,Std_dev_D,Average_A,Std_dev_A,Average_>2.5,Std_dev_>2.5,Average_<2.5,Std_dev_<2.5
0,Man City_West Brom_2005,2005-08-13,C Foy,3,7,1,1,2005,0,0,,,,,,,,,,,,,58.88,1.102,30.073,0.876,21.224,1.473,,,,
1,Portsmouth_Tottenham_2005,2005-08-13,B Knight,28,6,1,1,2005,0,2,,,,,,,,,,,,,37.745,1.331,31.269,0.844,41.08,1.913,,,,
2,West Ham_Blackburn_2005,2005-08-13,A Wiley,5,33,1,1,2005,3,1,,,,,,,,,,,,,42.198,1.738,31.449,1.137,36.505,0.97,,,,
3,Everton_Man United_2005,2005-08-13,G Poll,8,13,1,1,2005,0,2,,,,,,,,,,,,,23.657,2.075,30.254,1.322,56.179,1.474,,,,
4,Aston Villa_Bolton_2005,2005-08-13,M Riley,21,23,1,1,2005,2,2,,,,,,,,,,,,,46.349,2.014,31.499,1.063,32.164,1.711,,,,
5,Fulham_Birmingham_2005,2005-08-13,R Styles,16,19,1,1,2005,0,0,,,,,,,,,,,,,43.779,1.142,31.501,1.088,34.912,1.505,,,,
6,Sunderland_Charlton_2005,2005-08-13,H Webb,38,29,1,1,2005,1,3,,,,,,,,,,,,,43.004,1.474,31.344,1.198,35.75,1.209,,,,
7,Middlesbrough_Liverpool_2005,2005-08-13,M Halsey,25,10,1,1,2005,0,0,,,,,,,,,,,,,36.467,1.593,31.391,1.077,42.163,1.799,,,,
8,Wigan_Chelsea_2005,2005-08-14,M Clattenburg,20,30,1,1,2005,0,1,,,,,,,,,,,,,11.778,2.188,22.848,1.571,75.491,2.053,,,,
9,Arsenal_Newcastle_2005,2005-08-14,S Bennett,31,9,1,1,2005,2,0,,,,,,,,,,,,,70.955,1.622,25.319,1.282,13.782,2.016,,,,
10,Charlton_Wigan_2005,2005-08-20,R Styles,29,20,2,2,2005,1,0,,,,,,,,,,,,,57.625,2.296,30.299,1.256,22.28,1.849,,,,
11,Man United_Aston Villa_2005,2005-08-20,P Dowd,13,21,2,2,2005,1,0,,,,,,,,,,,,,79.213,1.409,20.9,1.636,9.86,1.607,,,,
12,Birmingham_Man City_2005,2005-08-20,M Clattenburg,19,3,2,2,2005,1,2,,,,,,,,,,,,,46.775,1.053,31.652,0.802,31.574,2.154,,,,
13,West Brom_Portsmouth_2005,2005-08-20,M Riley,7,28,2,2,2005,2,1,,,,,,,,,,,,,47.167,1.574,31.501,1.088,31.24,1.824,,,,
14,Newcastle_West Ham_2005,2005-08-20,D Gallagher,9,5,2,2,2005,0,0,,,,,,,,,,,,,62.263,1.732,29.21,1.731,18.682,2.02,,,,
15,Tottenham_Middlesbrough_2005,2005-08-20,M Atkinson,6,25,2,2,2005,2,0,,,,,,,,,,,,,53.719,1.333,30.998,0.778,25.369,1.5,,,,
16,Blackburn_Fulham_2005,2005-08-20,H Webb,33,16,2,2,2005,2,1,,,,,,,,,,,,,51.146,1.485,31.262,0.651,27.552,1.862,,,,
17,Liverpool_Sunderland_2005,2005-08-20,B Knight,10,38,2,2,2005,1,0,,,,,,,,,,,,,77.365,2.019,22.443,1.79,10.384,1.647,,,,
18,Chelsea_Arsenal_2005,2005-08-21,G Poll,30,31,2,2,2005,1,0,,,,,,,,,,,,,52.349,2.196,31.15,0.534,26.448,1.645,,,,
19,Bolton_Everton_2005,2005-08-21,A Wiley,23,8,2,2,2005,0,1,,,,,,,,,,,,,47.532,1.428,31.421,0.5,31.027,1.857,,,,
