,idGame,Date,Referee,Id_Team_Home,Id_Team_Away,nWeekHome,nWeekAway,year,Goals_H,Goals_A,Prob_H_last_3,Prob_D_last_3,Prob_A_last_3,Prob_H_last_6,Prob_D_last_6,Prob_A_last_6,Prob_H_last_10,Prob_D_last_10,Prob_A_last_10,Prob_H_last_infinity,Prob_D_last_infinity,Prob_A_last_infinity,Average_H,Std_dev_H,Average_D,Std_dev_D,Average_A,Std_dev_A,Average_>2.5,Std_dev_>2.5,Average_<2.5,Std_dev_<2.5
0,Man City_Fulham_2004,2004-08-14,M Messias,3,16,1,1,2004,1,1,,,,,,,,,,,,,48.465,1.131,31.332,0.668,30.818,1.349,53.343,1.006,53.343,1.006
1,Aston Villa_Southampton_2004,2004-08-14,U Rennie,21,12,1,1,2004,2,0,,,,,,,,,,,,,53.576,2.519,31.476,0.751,25.601,2.16,50.568,2.528,56.504,0.903
2,Bolton_Charlton_2004,2004-08-14,P Dowd,23,29,1,1,2004,4,1,,,,,,,,,,,,,45.482,1.215,31.845,1.017,33.12,1.62,51.882,2.661,54.805,1.062
3,Middlesbrough_Newcastle_2004,2004-08-14,S Bennett,25,9,1,1,2004,2,2,,,,,,,,,,,,,43.042,0.948,31.625,0.92,35.978,1.823,51.316,1.861,55.711,0.219
4,Portsmouth_Birmingham_2004,2004-08-14,H Webb,28,19,1,1,2004,1,1,,,,,,,,,,,,,42.768,1.285,31.548,0.787,36.182,1.836,50.641,0.907,56.349,1.122
5,Blackburn_West Brom_2004,2004-08-14,C Foy,33,7,1,1,2004,1,1,,,,,,,,,,,,,56.211,2.243,31.516,1.788,22.844,2.192,52.027,2.867,54.805,1.062
6,Tottenham_Liverpool_2004,2004-08-14,D Gallagher,6,10,1,1,2004,1,1,,,,,,,,,,,,,35.008,1.949,31.692,0.816,43.916,1.201,53.343,1.006,53.343,1.006
7,Norwich_Crystal Palace_2004,2004-08-14,P Walton,14,24,1,1,2004,1,1,,,,,,,,,,,,,49.194,2.487,31.401,0.624,29.952,1.134,51.957,0.954,54.96,1.281
8,Chelsea_Man United_2004,2004-08-15,G Poll,30,13,1,1,2004,1,0,,,,,,,,,,,,,48.141,1.333,31.332,0.668,31.085,1.257,51.957,0.954,54.96,1.281
9,Everton_Arsenal_2004,2004-08-15,M Riley,8,31,1,1,2004,1,4,,,,,,,,,,,,,20.129,2.595,30.53,1.014,59.757,2.357,54.887,3.19,51.957,0.954
10,Fulham_Bolton_2004,2004-08-21,R Styles,16,23,2,2,2004,2,0,,,,,,,,,,,,,46.276,1.991,31.394,0.381,32.893,1.05,53.343,1.006,53.343,1.006
11,Newcastle_Tottenham_2004,2004-08-21,M Dean,9,6,2,2,2004,0,1,,,,,,,,,,,,,60.167,1.442,30.206,1.103,20.223,1.817,54.96,1.281,51.957,0.954
12,Man United_Norwich_2004,2004-08-21,N Barry,13,14,2,2,2004,2,1,,,,,,,,,,,,,79.05,1.998,21.012,1.494,10.46,1.664,57.811,0.945,49.39,0.862
13,Charlton_Portsmouth_2004,2004-08-21,A Wiley,29,28,2,2,2004,2,1,,,,,,,,,,,,,52.035,2.543,31.121,0.614,27.483,1.018,53.343,1.006,53.343,1.006
14,Crystal Palace_Everton_2004,2004-08-21,M Clattenburg,24,8,2,2,2004,1,3,,,,,,,,,,,,,44.64,1.698,31.623,0.877,34.139,1.304,52.668,1.96,54.054,0.0
15,Liverpool_Man City_2004,2004-08-21,G Poll,10,3,2,2,2004,2,1,,,,,,,,,,,,,63.96,1.583,28.799,1.322,17.836,1.526,54.96,1.281,51.957,0.954
16,Birmingham_Chelsea_2004,2004-08-21,B Knight,19,30,2,2,2004,0,1,,,,,,,,,,,,,23.243,1.455,31.313,1.866,56.034,1.501,51.957,0.954,54.96,1.281
17,Southampton_Blackburn_2004,2004-08-21,A D'Urso,12,33,2,2,2004,3,2,,,,,,,,,,,,,45.515,1.793,31.554,0.928,33.378,0.715,50.031,1.769,57.143,0.0
18,Arsenal_Middlesbrough_2004,2004-08-22,S Dunn,31,25,2,2,2004,5,3,,,,,,,,,,,,,74.705,2.658,23.94,1.271,12.038,2.177,59.715,1.26,48.2,0.821
19,West Brom_Aston Villa_2004,2004-08-22,M Halsey,7,21,2,2,2004,1,1,,,,,,,,,,,,,36.276,1.378,32.595,1.19,41.775,1.699,50.031,1.769,57.143,0.0
20,Crystal Palace_Chelsea_2004,2004-08-24,C Foy,24,30,3,3,2004,0,2,,,,,,,,,,0.0,22.313,77.594,14.784,2.63,27.194,0.56,68.777,1.067,54.054,0.0,52.668,1.96
21,Birmingham_Man City_2004,2004-08-24,P Dowd,19,3,3,3,2004,1,0,,,,,,,,,,0.0,60.653,39.347,52.531,1.051,31.332,0.668,26.666,1.961,50.031,1.769,57.143,0.0
22,West Brom_Tottenham_2004,2004-08-25,B Knight,7,6,3,3,2004,1,1,,,,,,,,,,0.0,51.325,48.675,37.82,1.916,31.554,0.928,41.099,1.449,50.031,1.769,57.143,0.0
23,Fulham_Middlesbrough_2004,2004-08-25,D Gallagher,16,25,3,3,2004,0,2,,,,,,,,,,70.697,0.482,0.0,42.796,1.74,31.554,0.928,36.185,0.616,51.282,0.0,55.598,2.184
24,Charlton_Aston Villa_2004,2004-08-25,H Webb,29,21,3,3,2004,3,0,,,,,,,,,,44.639,32.659,22.689,41.885,1.455,31.692,0.816,36.723,1.794,50.641,0.907,56.349,1.122
25,Southampton_Bolton_2004,2004-08-25,S Dunn,12,23,3,3,2004,1,2,,,,,,,,,,91.461,4.074,0.0,44.923,1.635,31.623,0.877,33.993,1.935,51.282,0.0,55.598,2.184
26,Newcastle_Norwich_2004,2004-08-25,M Halsey,9,14,3,3,2004,2,2,,,,,,,,,,0.0,51.325,48.675,68.451,1.392,27.253,1.473,15.115,1.906,56.349,1.122,50.641,0.907
27,Arsenal_Blackburn_2004,2004-08-25,N Barry,31,33,3,3,2004,3,0,,,,,,,,,,18.619,4.56,4.694,79.5,2.046,20.754,1.048,10.234,0.434,62.561,2.765,45.983,0.747
28,Chelsea_Southampton_2004,2004-08-28,S Bennett,30,12,4,4,2004,2,1,,,,,,,,,,68.113,31.868,0.0,77.705,1.107,22.393,1.626,10.57,0.743,57.811,0.945,49.39,0.862
