,LBAHH,GBAHA,WHD,LBAH,GBAH,IWH,IWA,WHA,SBD,B365<2.5,SOA,B365A,GBD,GBA,B365H,SBA,LBAHA,B365D,LBH,GBAHH,GB<2.5,LBD,GBH,LBA,SOD,WHH,B365>2.5,B365AH,B365AHH,IWD,SOH,GB>2.5,B365AHA,SBH,idGame,nWeekHome,nWeekAway,Date,year,IdHomeTeam,IdAwayTeam
17,1.8,2.0,3.4,-0.75,-0.75,1.65,4.4,4.33,3.4,1.9,4.5,4.5,3.4,5.0,1.6669999999999998,4.5,2.05,3.6,1.615,1.8,1.85,3.5,1.67,4.5,3.4,1.66,1.9,-0.75,1.825,3.3,1.67,1.85,2.075,1.66,Man City_Portsmouth_2003,2,2,2003-08-23,2003,3,28
18,,1.85,3.1,,0.25,3.1,2.1,2.1,3.2,1.75,2.2,2.2,3.3,2.15,3.0,2.2,,3.2,2.75,1.95,1.85,3.25,3.1,2.2,3.4,3.1,2.05,0.25,1.95,3.0,3.0,1.85,1.95,2.87,Aston Villa_Liverpool_2003,2,2,2003-08-24,2003,21,10
19,2.05,2.2,3.25,0.5,1.0,3.8,1.8,1.72,3.25,1.85,1.8,1.8,3.4,1.75,4.0,1.72,1.8,3.4,4.0,1.65,1.95,3.2,4.4,1.8,3.4,4.2,1.95,0.5,2.05,3.1,4.33,1.75,1.85,4.33,Middlesbrough_Arsenal_2003,2,2,2003-08-24,2003,25,31
20,2.0,1.85,3.2,-0.5,-0.5,1.85,3.6,3.2,3.25,1.9,3.75,3.4,3.2,3.5,2.0,3.5,1.85,3.25,2.0,1.95,1.9,3.4,2.0,3.0,3.5,2.0,1.9,-0.5,2.1,3.1,1.91,1.79,1.8,1.9,Blackburn_Man City_2003,3,3,2003-08-25,2003,33,3
21,1.8,2.0,3.2,-0.25,-0.25,2.2,2.9,3.2,3.25,1.85,3.25,3.2,3.25,3.25,2.1,3.25,2.05,3.25,2.1,1.8,1.79,3.2,2.1,3.0,3.25,2.0,1.95,,,3.0,2.0,1.9,,2.0,Portsmouth_Bolton_2003,3,3,2003-08-26,2003,28,23
22,1.8,2.0,3.1,0.0,0.0,2.3,2.7,2.62,3.2,1.75,2.75,2.6,3.25,2.7,2.5,2.62,2.05,3.2,2.375,1.8,1.79,3.2,2.4,2.6,3.25,2.37,2.05,,,3.0,2.25,1.9,,2.37,Leicester_Middlesbrough_2003,3,3,2003-08-26,2003,27,25
23,1.85,2.0,3.2,-0.25,-0.25,1.9,3.5,3.2,3.25,1.8,3.25,3.4,3.25,3.35,2.0,3.25,2.0,3.25,2.0,1.8,1.85,3.4,2.05,3.0,3.25,2.0,2.0,,,3.1,2.0,1.85,,2.0,Leeds_Southampton_2003,3,3,2003-08-26,2003,2,12
24,1.75,2.05,3.1,0.0,0.0,2.2,2.9,2.6,3.2,1.85,2.75,2.75,3.25,2.7,2.375,2.7,2.1,3.2,2.25,1.75,1.9,3.2,2.4,2.75,3.25,2.4,1.95,,,3.0,2.25,1.85,,2.3,Charlton_Everton_2003,3,3,2003-08-26,2003,29,8
25,2.05,2.0,4.5,-1.75,-1.5,1.3,8.0,8.0,5.0,2.0,8.5,8.5,5.0,10.0,1.286,8.5,1.8,5.0,1.25,1.8,2.15,4.5,1.26,10.0,5.0,1.28,1.8,-1.5,1.875,4.2,1.25,1.6,2.025,1.25,Arsenal_Aston Villa_2003,3,3,2003-08-27,2003,31,21
26,2.05,1.8,3.4,-1.0,-1.0,1.55,4.8,6.0,3.4,1.85,5.5,7.0,3.5,6.5,1.5,6.0,1.8,3.5,1.5330000000000001,2.0,1.9,3.5,1.53,5.5,3.4,1.5,1.95,-1.0,2.1,3.5,1.57,1.79,1.8,1.53,Liverpool_Tottenham_2003,3,3,2003-08-27,2003,10,6
