,idGame,nWeekHome,nWeekAway,Date,year,IdHomeTeam,IdAwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
0,Aston Villa_Wigan_2009,1,1,2009-08-15,2009,21,20,0,2,A,0,1,A,M Clattenburg,11,14,5,7,15,14,4,6,2,2,0,0
1,Blackburn_Man City_2009,1,1,2009-08-15,2009,33,3,0,2,A,0,1,A,M Dean,17,8,9,5,12,9,5,4,2,1,0,0
2,Bolton_Sunderland_2009,1,1,2009-08-15,2009,23,38,0,1,A,0,1,A,A Marriner,11,20,3,13,16,10,4,7,2,1,0,0
3,Chelsea_Hull_2009,1,1,2009-08-15,2009,30,34,2,1,H,1,1,D,A Wiley,26,7,12,3,13,15,12,4,1,2,0,0
4,Everton_Arsenal_2009,1,1,2009-08-15,2009,8,31,1,6,A,0,3,A,M Halsey,8,15,5,9,11,13,4,9,0,0,0,0
5,Portsmouth_Fulham_2009,1,1,2009-08-15,2009,28,16,0,1,A,0,1,A,M Atkinson,16,9,4,3,11,18,6,4,3,2,0,0
6,Stoke_Burnley_2009,1,1,2009-08-15,2009,22,11,2,0,H,2,0,H,S Bennett,12,9,5,5,15,10,3,6,2,2,0,0
7,Wolves_West Ham_2009,1,1,2009-08-15,2009,4,5,0,2,A,0,1,A,C Foy,19,16,11,13,9,5,8,6,0,0,0,0
8,Man United_Birmingham_2009,1,1,2009-08-16,2009,13,19,1,0,H,1,0,H,L Mason,26,6,17,4,13,7,13,2,1,1,0,0
9,Tottenham_Liverpool_2009,1,1,2009-08-16,2009,6,10,2,1,H,1,0,H,P Dowd,17,6,11,3,14,16,6,5,3,3,0,0
10,Wigan_Wolves_2009,2,2,2009-08-18,2009,20,4,0,1,A,0,1,A,M Jones,18,9,5,3,8,21,4,4,0,3,0,0
11,Sunderland_Chelsea_2009,2,2,2009-08-18,2009,38,30,1,3,A,1,0,H,S Bennett,4,20,3,9,14,10,1,14,2,2,0,0
12,Birmingham_Portsmouth_2009,2,2,2009-08-19,2009,19,28,1,0,H,0,0,D,L Probert,9,9,5,4,11,20,4,5,0,5,0,0
13,Burnley_Man United_2009,2,2,2009-08-19,2009,11,13,1,0,H,1,0,H,A Wiley,8,18,2,9,8,12,1,12,2,1,0,0
14,Hull_Tottenham_2009,2,2,2009-08-19,2009,34,6,1,5,A,1,3,A,C Foy,9,18,7,12,23,13,6,5,3,2,0,0
15,Liverpool_Stoke_2009,2,2,2009-08-19,2009,10,22,4,0,H,2,0,H,P Walton,18,6,13,3,10,9,11,5,0,1,0,0
16,Wigan_Man United_2009,3,3,2009-08-22,2009,20,13,0,5,A,0,0,D,H Webb,16,16,7,13,11,8,3,5,2,2,0,0
17,Arsenal_Portsmouth_2009,2,3,2009-08-22,2009,31,28,4,1,H,2,1,H,S Bennett,19,9,16,4,9,10,8,4,1,0,0,0
18,Birmingham_Stoke_2009,3,3,2009-08-22,2009,19,22,0,0,D,0,0,D,C Foy,8,13,6,3,8,13,3,3,0,3,0,0
19,Hull_Bolton_2009,3,2,2009-08-22,2009,34,23,1,0,H,0,0,D,M Jones,12,20,5,10,19,19,4,12,3,2,0,0
20,Man City_Wolves_2009,2,3,2009-08-22,2009,3,4,1,0,H,1,0,H,L Mason,16,10,11,2,7,11,5,6,0,1,0,0
21,Sunderland_Blackburn_2009,3,2,2009-08-22,2009,38,33,2,1,H,1,1,D,A Wiley,8,18,5,5,12,14,0,10,2,1,0,0
22,Fulham_Chelsea_2009,2,3,2009-08-23,2009,16,30,0,2,A,0,1,A,A Marriner,4,12,1,4,11,10,4,7,0,0,0,0
23,West Ham_Tottenham_2009,2,3,2009-08-23,2009,5,6,1,2,A,0,0,D,M Clattenburg,17,17,8,10,13,11,4,8,2,1,0,0
24,Burnley_Everton_2009,3,2,2009-08-23,2009,11,8,1,0,H,1,0,H,P Dowd,8,17,4,11,11,13,3,7,1,0,0,0
