,idGame,nWeekHome,nWeekAway,Date,year,IdHomeTeam,IdAwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
0,Bournemouth_Aston Villa_2015,1,1,2015-08-08,2015,6,1,0,1,A,0,0,D,M Clattenburg,11,7,2,3,13,13,6,3,3,4,0,0
1,Chelsea_Swansea_2015,1,1,2015-08-08,2015,11,33,2,2,D,2,1,H,M Oliver,11,18,3,10,15,16,4,8,1,3,1,0
2,Everton_Watford_2015,1,1,2015-08-08,2015,14,35,2,2,D,0,1,A,M Jones,10,11,5,5,7,13,8,2,1,2,0,0
3,Leicester_Sunderland_2015,1,1,2015-08-08,2015,19,32,4,2,H,3,0,H,L Mason,19,10,8,5,13,17,6,3,2,4,0,0
4,Man United_Tottenham_2015,1,1,2015-08-08,2015,22,34,1,0,H,1,0,H,J Moss,9,9,1,4,12,12,1,2,2,3,0,0
5,Norwich_Crystal Palace_2015,1,1,2015-08-08,2015,25,12,1,3,A,0,1,A,S Hooper,17,11,6,7,14,20,1,4,1,0,0,0
6,Arsenal_West Ham_2015,1,1,2015-08-09,2015,0,37,0,2,A,0,1,A,M Atkinson,22,8,6,4,12,9,5,4,1,3,0,0
7,Newcastle_Southampton_2015,1,1,2015-08-09,2015,24,30,2,2,D,1,1,D,C Pawson,9,15,4,5,9,12,6,6,2,4,0,0
8,Stoke_Liverpool_2015,1,1,2015-08-09,2015,31,20,0,1,A,0,0,D,A Taylor,7,8,1,3,9,16,3,5,2,4,0,0
9,West Brom_Man City_2015,1,1,2015-08-10,2015,36,21,0,3,A,0,2,A,M Dean,9,19,2,7,12,9,6,6,4,1,0,0
10,Aston Villa_Man United_2015,2,2,2015-08-14,2015,1,22,0,1,A,0,1,A,M Dean,5,9,1,2,14,10,3,5,2,2,0,0
11,West Ham_Leicester_2015,2,2,2015-08-15,2015,37,19,1,2,A,0,2,A,A Taylor,10,11,3,6,11,12,8,4,1,3,1,0
12,Watford_West Brom_2015,2,2,2015-08-15,2015,35,36,0,0,D,0,0,D,P Tierney,16,6,5,0,13,10,2,4,1,2,0,0
13,Tottenham_Stoke_2015,2,2,2015-08-15,2015,34,31,2,2,D,2,0,H,R Madley,13,16,7,7,15,11,4,3,2,2,0,0
14,Southampton_Everton_2015,2,2,2015-08-15,2015,30,14,0,3,A,0,2,A,M Oliver,17,10,4,4,11,10,9,9,4,2,0,0
15,Sunderland_Norwich_2015,2,2,2015-08-15,2015,32,25,1,3,A,0,2,A,K Friend,6,19,2,6,7,7,6,6,1,2,0,0
16,Swansea_Newcastle_2015,2,2,2015-08-15,2015,33,24,2,0,H,1,0,H,M Jones,19,4,6,2,11,8,4,4,2,1,0,1
17,Crystal Palace_Arsenal_2015,2,2,2015-08-16,2015,12,0,1,2,A,1,1,D,L Mason,11,20,4,7,14,12,6,6,1,1,0,0
18,Man City_Chelsea_2015,2,2,2015-08-16,2015,21,11,3,0,H,1,0,H,M Atkinson,18,10,8,3,19,13,5,1,4,2,0,0
19,Liverpool_Bournemouth_2015,2,2,2015-08-17,2015,20,6,1,0,H,1,0,H,C Pawson,18,13,2,2,11,18,6,8,1,4,0,0
20,Sunderland_Swansea_2015,3,3,2015-08-22,2015,32,33,1,1,D,0,1,A,N Swarbrick,10,20,2,9,16,9,3,4,4,2,0,0
21,West Ham_Bournemouth_2015,3,3,2015-08-22,2015,37,6,3,4,A,0,2,A,J Moss,10,15,4,7,8,11,5,4,0,0,1,0
22,Norwich_Stoke_2015,3,3,2015-08-22,2015,25,31,1,1,D,1,1,D,M Dean,21,6,7,1,16,5,9,0,4,1,0,0
23,Leicester_Tottenham_2015,3,3,2015-08-22,2015,19,34,1,1,D,0,0,D,M Atkinson,13,19,2,6,7,14,2,7,1,4,0,0
24,Crystal Palace_Aston Villa_2015,3,3,2015-08-22,2015,12,1,2,1,H,0,0,D,K Stroud,16,11,6,2,12,15,6,4,3,3,0,0
25,Man United_Newcastle_2015,3,3,2015-08-22,2015,22,24,0,0,D,0,0,D,C Pawson,20,7,8,0,15,11,11,5,2,2,0,0
26,Everton_Man City_2015,3,3,2015-08-23,2015,14,21,0,2,A,0,0,D,A Taylor,10,16,1,9,5,7,8,7,0,3,0,0
27,Watford_Southampton_2015,3,3,2015-08-23,2015,35,30,0,0,D,0,0,D,A Marriner,13,14,0,5,10,11,5,2,0,2,0,0
