,idGame,Date,Referee,Id_Team_Home,Id_Team_Away,nWeekHome,nWeekAway,year,Goals_H,Goals_A,Prob_H_last_3,Prob_D_last_3,Prob_A_last_3,Prob_H_last_6,Prob_D_last_6,Prob_A_last_6,Prob_H_last_10,Prob_D_last_10,Prob_A_last_10,Prob_H_last_infinity,Prob_D_last_infinity,Prob_A_last_infinity,Average_H,Std_dev_H,Average_D,Std_dev_D,Average_A,Std_dev_A,Average_>2.5,Std_dev_>2.5,Average_<2.5,Std_dev_<2.5,Diff_H_last_3,Diff_D_last_3,Diff_A_last_3,Diff_H_last_6,Diff_D_last_6,Diff_A_last_6,Diff_H_last_10,Diff_D_last_10,Diff_A_last_10,Diff_H_last_infinity,Diff_D_last_infinity,Diff_A_last_infinity
70,Southampton_Sunderland_2014,2014-10-18,A Marriner,12,38,8,8,2014,8,0,69.772,26.058,4.108,,,,,,,69.408,26.301,4.232,62.07,0.984,26.349,1.802,16.444,2.109,,,,,7.702,-0.291,-12.336,,,,,,,7.338,-0.048,-12.212
71,Newcastle_Leicester_2014,2014-10-18,M Atkinson,9,27,8,8,2014,1,0,61.527,25.145,13.215,,,,,,,60.93,25.331,13.631,45.482,1.215,29.384,1.705,29.862,0.9,,,,,16.045,-4.239,-16.647,,,,,,,15.448,-4.053,-16.231
72,Burnley_West Ham_2014,2014-10-18,K Friend,11,5,8,8,2014,1,3,9.552,26.04,64.329,,,,,,,9.232,25.438,65.241,36.004,1.191,30.789,1.324,37.144,0.633,,,,,-26.452,-4.749,27.185,,,,,,,-26.772,-5.351,28.097
73,Crystal Palace_Chelsea_2014,2014-10-18,C Pawson,24,30,8,8,2014,1,2,16.729,18.12,63.902,,,,,,,16.007,17.667,64.933,12.506,1.064,22.353,1.487,69.875,1.083,,,,,4.223,-4.233,-5.973,,,,,,,3.501,-4.686,-4.942
74,Everton_Aston Villa_2014,2014-10-18,A Taylor,8,21,8,8,2014,3,0,35.206,22.488,41.907,,,,,,,34.233,22.329,43.012,62.072,1.065,25.842,1.705,16.886,1.812,,,,,-26.866,-3.354,25.021,,,,,,,-27.839,-3.513,26.126
75,Man City_Tottenham_2014,2014-10-18,J Moss,3,6,8,8,2014,4,1,33.005,31.823,35.159,,,,,,,32.353,31.646,35.988,67.518,1.107,22.712,1.728,13.985,0.981,,,,,-34.513,9.111,21.174,,,,,,,-35.165,8.934,22.003
76,Arsenal_Hull_2014,2014-10-18,R East,31,34,8,8,2014,2,2,43.339,24.827,31.683,,,,,,,42.483,24.801,32.564,70.673,1.768,21.669,1.87,12.463,1.034,,,,,-27.334,3.158,19.22,,,,,,,-28.19,3.132,20.101
77,QPR_Liverpool_2014,2014-10-19,P Dowd,32,10,8,8,2014,2,3,38.897,26.206,34.81,,,,,,,40.821,26.041,33.045,17.122,1.428,25.204,1.872,62.067,0.841,,,,,21.775,1.002,-27.257,,,,,,,23.699,0.837,-29.022
78,Stoke_Swansea_2014,2014-10-19,M Oliver,22,0,8,8,2014,2,1,17.813,44.398,37.788,,,,,,,18.677,44.653,36.67,40.327,1.16,30.925,1.125,33.168,0.981,,,,,-22.514,13.473,4.62,,,,,,,-21.65,13.728,3.502
79,West Brom_Man United_2014,2014-10-20,M Dean,7,13,8,8,2014,2,2,63.636,17.044,17.331,,,,,,,63.636,17.044,17.331,20.472,0.917,26.059,1.833,57.623,0.82,,,,,43.164,-9.015,-40.292,,,,,,,43.164,-9.015,-40.292
80,West Ham_Man City_2014,2014-10-25,M Atkinson,5,3,9,9,2014,2,1,23.74,17.989,56.146,,,,,,,14.07,17.849,66.989,16.667,1.416,23.317,1.595,64.701,0.679,,,,,7.073,-5.328,-8.555,,,,,,,-2.597,-5.468,2.288
81,Liverpool_Hull_2014,2014-10-25,N Swarbrick,10,34,9,9,2014,0,0,37.45,26.737,35.742,,,,,,,38.404,27.847,33.702,69.875,1.083,21.783,0.98,13.382,1.056,,,,,-32.425,4.954,22.36,,,,,,,-31.471,6.064,20.32
82,West Brom_Crystal Palace_2014,2014-10-25,M Clattenburg,7,24,9,9,2014,2,2,55.334,16.729,24.12,,,,,,,54.902,16.937,24.588,52.916,0.632,28.756,1.041,23.558,2.004,,,,,2.418,-12.027,0.562,,,,,,,1.986,-11.819,1.03
83,Southampton_Stoke_2014,2014-10-25,J Moss,12,22,9,9,2014,1,0,73.768,1.641,0.372,,,,,,,87.873,4.999,0.965,61.578,0.949,25.924,1.18,17.09,1.244,,,,,12.19,-24.283,-16.718,,,,,,,26.295,-20.925,-16.125
84,Swansea_Leicester_2014,2014-10-25,M Jones,0,27,9,9,2014,2,0,57.379,34.154,8.454,,,,,,,65.881,29.901,4.188,51.946,1.032,27.835,0.878,24.652,1.653,,,,,5.433,6.319,-16.198,,,,,,,13.935,2.066,-20.464
85,Sunderland_Arsenal_2014,2014-10-25,K Friend,38,31,9,9,2014,0,2,36.974,30.137,32.868,,,,,,,38.44,27.836,33.676,19.455,0.986,26.476,0.588,58.75,1.335,,,,,17.519,3.661,-25.882,,,,,,,18.985,1.36,-25.074
86,Tottenham_Newcastle_2014,2014-10-26,A Taylor,6,9,9,9,2014,1,2,22.655,42.422,34.922,,,,,,,63.84,26.523,9.566,57.59,1.271,26.308,0.822,20.803,1.125,,,,,-34.935,16.114,14.119,,,,,,,6.25,0.215,-11.237
87,Man United_Chelsea_2014,2014-10-26,P Dowd,13,30,9,9,2014,1,1,61.948,16.677,18.761,,,,,,,38.626,19.496,40.276,35.53,1.493,29.208,1.202,40.032,1.235,,,,,26.418,-12.531,-21.271,,,,,,,3.096,-9.712,0.244
88,Burnley_Everton_2014,2014-10-26,A Marriner,11,8,9,9,2014,1,3,7.571,36.095,56.325,,,,,,,8.398,22.261,69.158,22.4,0.971,27.355,0.836,54.796,1.223,,,,,-14.829,8.74,1.529,,,,,,,-14.002,-5.094,14.362
89,QPR_Aston Villa_2014,2014-10-27,L Mason,32,21,9,9,2014,2,0,75.766,17.445,6.281,,,,,,,52.194,30.773,17.007,42.463,0.81,30.825,0.74,31.449,2.177,,,,,33.303,-13.38,-25.168,,,,,,,9.731,-0.052,-14.442
90,Everton_Swansea_2014,2014-11-01,K Friend,8,0,10,10,2014,0,0,52.104,16.07,25.965,,,,,,,40.194,17.306,37.816,57.427,0.403,27.321,1.691,19.752,1.635,,,,,-5.323,-11.251,6.213,,,,,,,-17.233,-10.015,18.064
91,Hull_Southampton_2014,2014-11-01,M Atkinson,34,12,10,10,2014,0,1,13.767,19.804,65.879,,,,,,,24.589,23.617,51.561,26.672,1.953,29.242,1.754,48.692,0.853,,,,,-12.905,-9.438,17.187,,,,,,,-2.083,-5.625,2.869
92,Newcastle_Liverpool_2014,2014-11-01,A Marriner,9,10,10,10,2014,1,0,24.534,16.682,54.779,,,,,,,25.818,17.638,53.763,26.655,0.52,28.441,1.747,49.129,0.595,,,,,-2.121,-11.759,5.65,,,,,,,-0.837,-10.803,4.634
93,Stoke_West Ham_2014,2014-11-01,C Foy,22,5,10,10,2014,2,2,34.28,30.252,35.448,,,,,,,20.194,28.261,51.495,42.064,1.069,30.381,1.18,31.964,1.062,,,,,-7.784,-0.129,3.484,,,,,,,-21.87,-2.12,19.531
94,Leicester_West Brom_2014,2014-11-01,S Attwell,27,7,10,10,2014,0,1,70.635,15.275,11.913,,,,,,,65.332,20.302,13.892,43.349,1.281,29.616,1.029,31.342,1.356,,,,,27.286,-14.341,-19.429,,,,,,,21.983,-9.314,-17.45
95,Arsenal_Burnley_2014,2014-11-01,C Pawson,31,11,10,10,2014,3,0,64.064,20.324,15.101,,,,,,,69.67,19.663,10.241,78.316,1.222,17.572,1.859,8.671,1.536,,,,,-14.252,2.752,6.43,,,,,,,-8.646,2.091,1.57
96,Chelsea_QPR_2014,2014-11-01,M Jones,30,32,10,10,2014,2,1,76.177,1.276,0.173,,,,,,,70.602,0.709,0.059,84.954,0.544,13.884,1.674,5.623,0.905,,,,,-8.777,-12.608,-5.45,,,,,,,-14.352,-13.175,-5.564
