,idGame,Date,Referee,Id_Team_Home,Id_Team_Away,nWeekHome,nWeekAway,year,Goals_H,Goals_A,Prob_H_last_3,Prob_D_last_3,Prob_A_last_3,Prob_H_last_6,Prob_D_last_6,Prob_A_last_6,Prob_H_last_10,Prob_D_last_10,Prob_A_last_10,Prob_H_last_infinity,Prob_D_last_infinity,Prob_A_last_infinity,Average_H,Std_dev_H,Average_D,Std_dev_D,Average_A,Std_dev_A,Average_>2.5,Std_dev_>2.5,Average_<2.5,Std_dev_<2.5,Diff_H_last_3,Diff_D_last_3,Diff_A_last_3,Diff_H_last_6,Diff_D_last_6,Diff_A_last_6,Diff_H_last_10,Diff_D_last_10,Diff_A_last_10,Diff_H_last_infinity,Diff_D_last_infinity,Diff_A_last_infinity
69,Liverpool_Man United_2011,2011-10-15,A Marriner,10,13,8,8,2011,1,1,10.704,16.766,71.431,,,,,,,13.002,18.158,67.955,33.712,1.942,30.948,1.137,41.255,0.908,,,,,-23.008,-14.182,30.176,,,,,,,-20.71,-12.79,26.7
70,Norwich_Swansea_2011,2011-10-15,J Moss,14,0,8,8,2011,3,1,74.194,20.1,5.466,,,,,,,77.918,17.249,4.417,45.882,0.752,30.402,0.475,30.389,1.157,,,,,28.312,-10.302,-24.923,,,,,,,32.036,-13.153,-25.972
71,Stoke_Fulham_2011,2011-10-15,M Atkinson,22,16,8,8,2011,2,0,38.107,56.315,5.578,,,,,,,41.294,53.624,5.082,47.795,1.822,30.963,0.333,27.825,1.213,,,,,-9.688,25.352,-22.247,,,,,,,-6.501,22.661,-22.743
72,Wigan_Bolton_2011,2011-10-15,M Dean,20,23,8,8,2011,1,3,39.873,23.998,35.92,,,,,,,45.038,23.258,31.421,43.723,0.901,30.45,0.536,32.221,1.598,,,,,-3.85,-6.452,3.699,,,,,,,1.315,-7.192,-0.8
74,QPR_Blackburn_2011,2011-10-15,M Clattenburg,32,33,8,8,2011,1,1,11.182,25.864,62.866,,,,,,,13.041,27.047,59.844,53.856,1.425,29.249,0.542,23.499,1.797,,,,,-42.674,-3.385,39.367,,,,,,,-40.815,-2.202,36.345
75,Man City_Aston Villa_2011,2011-10-15,A Taylor,3,21,8,8,2011,4,1,82.83,16.932,0.0,,,,,,,85.608,13.977,0.0,74.506,0.759,21.292,1.107,11.075,1.118,,,,,8.324,-4.36,-11.075,,,,,,,11.102,-7.315,-11.075
76,West Brom_Wolves_2011,2011-10-16,C Foy,7,4,8,8,2011,2,0,8.045,38.414,53.535,,,,,,,8.624,40.272,51.1,49.646,1.002,29.961,0.839,26.944,1.78,,,,,-41.601,8.453,26.591,,,,,,,-41.022,10.311,24.156
78,Arsenal_Sunderland_2011,2011-10-16,H Webb,31,38,8,8,2011,2,1,43.043,39.496,17.459,,,,,,,44.424,39.376,16.197,70.187,0.968,23.338,1.156,13.31,0.998,,,,,-27.144,16.158,4.149,,,,,,,-25.763,16.038,2.887
79,Newcastle_Wigan_2011,2011-10-22,N Swarbrick,9,20,9,9,2011,1,0,85.057,4.77,1.338,,,,,,,82.99,13.623,2.634,63.058,0.852,26.886,1.096,16.839,1.436,,,,,21.999,-22.116,-15.501,,,,,,,19.932,-13.263,-14.205
80,Aston Villa_West Brom_2011,2011-10-22,P Dowd,21,7,9,9,2011,1,2,53.862,35.82,10.309,,,,,,,67.785,22.984,9.071,50.377,1.181,30.359,0.587,26.162,1.656,,,,,3.485,5.461,-15.853,,,,,,,17.408,-7.375,-17.091
81,Wolves_Swansea_2011,2011-10-22,M Oliver,4,0,9,9,2011,2,2,14.698,28.339,56.913,,,,,,,52.996,27.259,19.677,50.242,0.948,29.605,0.78,26.799,1.345,,,,,-35.544,-1.266,30.114,,,,,,,2.754,-2.346,-7.122
82,Liverpool_Norwich_2011,2011-10-22,P Walton,10,14,9,9,2011,1,1,70.589,16.722,11.465,,,,,,,62.292,21.427,15.906,76.845,0.933,19.926,1.188,9.815,1.298,,,,,-6.256,-3.204,1.65,,,,,,,-14.553,1.501,6.091
83,Bolton_Sunderland_2011,2011-10-22,M Jones,23,38,9,9,2011,0,2,6.991,15.555,76.49,,,,,,,10.461,16.563,71.835,45.689,1.174,30.781,0.618,30.139,1.492,,,,,-38.698,-15.226,46.351,,,,,,,-35.228,-14.218,41.696
84,Fulham_Everton_2011,2011-10-23,L Probert,16,8,9,8,2011,1,3,81.99,9.908,4.41,,,,,,,79.372,14.388,5.228,42.682,0.967,31.082,0.964,32.921,2.05,,,,,39.308,-21.174,-28.511,,,,,,,36.69,-16.694,-27.693
85,Man United_Man City_2011,2011-10-23,M Clattenburg,13,3,9,9,2011,1,6,30.187,16.248,46.873,,,,,,,52.067,16.599,26.614,48.444,0.977,30.045,0.696,27.909,1.297,,,,,-18.257,-13.797,18.964,,,,,,,3.623,-13.446,-1.295
86,QPR_Chelsea_2011,2011-10-23,C Foy,32,30,9,9,2011,1,0,15.843,24.868,59.158,,,,,,,3.829,11.866,82.701,11.89,1.301,21.848,1.361,73.158,1.301,,,,,3.953,3.02,-14.0,,,,,,,-8.061,-9.982,9.543
