,idGame,Date,Referee,Id_Team_Home,Id_Team_Away,nWeekHome,nWeekAway,year,Goals_H,Goals_A,Prob_H_last_3,Prob_D_last_3,Prob_A_last_3,Prob_H_last_6,Prob_D_last_6,Prob_A_last_6,Prob_H_last_10,Prob_D_last_10,Prob_A_last_10,Prob_H_last_infinity,Prob_D_last_infinity,Prob_A_last_infinity,Average_H,Std_dev_H,Average_D,Std_dev_D,Average_A,Std_dev_A,Average_>2.5,Std_dev_>2.5,Average_<2.5,Std_dev_<2.5,Diff_H_last_3,Diff_D_last_3,Diff_A_last_3,Diff_H_last_6,Diff_D_last_6,Diff_A_last_6,Diff_H_last_10,Diff_D_last_10,Diff_A_last_10,Diff_H_last_infinity,Diff_D_last_infinity,Diff_A_last_infinity
66,Man United_Sunderland_2009,2009-10-03,A Wiley,13,38,8,8,2009,2,2,66.826,20.433,12.336,,,,,,,70.419,18.612,10.38,84.184,0.935,16.434,0.862,7.793,0.93,,,,,-17.358,3.999,4.543,,,,,,,-13.765,2.178,2.587
67,Wolves_Portsmouth_2009,2009-10-03,H Webb,4,28,8,8,2009,0,1,65.953,25.605,8.359,,,,,,,69.156,23.546,7.173,48.719,2.103,30.276,0.79,29.568,1.887,,,,,17.234,-4.671,-21.209,,,,,,,20.437,-6.73,-22.395
68,Burnley_Birmingham_2009,2009-10-03,K Friend,11,19,8,8,2009,2,1,59.121,34.866,6.002,,,,,,,61.989,32.695,5.298,44.872,1.21,30.916,0.391,32.225,1.595,,,,,14.249,3.95,-26.223,,,,,,,17.117,1.779,-26.927
70,Hull_Wigan_2009,2009-10-03,M Clattenburg,34,20,8,8,2009,2,1,20.4,25.482,53.999,,,,,,,23.264,26.419,50.229,36.912,1.464,30.775,0.446,40.609,1.374,,,,,-16.512,-5.293,13.39,,,,,,,-13.648,-4.356,9.62
74,Chelsea_Liverpool_2009,2009-10-04,M Atkinson,30,10,8,8,2009,2,0,82.818,8.264,3.552,,,,,,,82.87,7.125,2.985,47.408,0.87,31.166,0.685,29.703,1.565,,,,,35.41,-22.902,-26.151,,,,,,,35.462,-24.041,-26.718
76,Sunderland_Liverpool_2009,2009-10-17,M Jones,38,10,9,9,2009,1,0,58.03,12.669,16.695,,,,,,,54.516,14.909,22.558,22.953,1.241,28.912,0.577,55.796,1.831,,,,,35.077,-16.243,-39.101,,,,,,,31.563,-14.003,-33.238
77,Man United_Bolton_2009,2009-10-17,M Clattenburg,13,23,9,8,2009,2,1,25.791,17.458,53.735,,,,,,,36.211,21.576,41.613,83.479,0.792,17.471,1.257,7.712,0.838,,,,,-57.688,-0.013,46.023,,,,,,,-47.268,4.105,33.901
78,Aston Villa_Chelsea_2009,2009-10-17,K Friend,21,30,8,9,2009,2,1,55.449,30.411,14.111,,,,,,,29.437,29.936,40.603,23.208,1.199,28.956,0.628,55.223,0.559,,,,,32.241,1.455,-41.112,,,,,,,6.229,0.98,-14.62
79,Everton_Wolves_2009,2009-10-17,S Attwell,8,4,8,9,2009,1,1,83.219,8.134,3.365,,,,,,,54.722,19.59,24.567,69.714,1.454,24.611,1.312,13.739,1.014,,,,,13.505,-16.477,-10.374,,,,,,,-14.992,-5.021,10.828
80,Stoke_West Ham_2009,2009-10-17,M Atkinson,22,5,9,8,2009,2,1,29.216,50.119,20.665,,,,,,,29.343,42.633,28.023,47.874,1.208,30.68,0.435,29.19,1.077,,,,,-18.658,19.439,-8.525,,,,,,,-18.531,11.953,-1.167
