,idGame,Date,Referee,Id_Team_Home,Id_Team_Away,nWeekHome,nWeekAway,year,Goals_H,Goals_A,Prob_H_last_3,Prob_D_last_3,Prob_A_last_3,Prob_H_last_6,Prob_D_last_6,Prob_A_last_6,Prob_H_last_10,Prob_D_last_10,Prob_A_last_10,Prob_H_last_infinity,Prob_D_last_infinity,Prob_A_last_infinity,Average_H,Std_dev_H,Average_D,Std_dev_D,Average_A,Std_dev_A,Average_>2.5,Std_dev_>2.5,Average_<2.5,Std_dev_<2.5,Diff_H_last_3,Diff_D_last_3,Diff_A_last_3,Diff_H_last_6,Diff_D_last_6,Diff_A_last_6,Diff_H_last_10,Diff_D_last_10,Diff_A_last_10,Diff_H_last_infinity,Diff_D_last_infinity,Diff_A_last_infinity
70,Brighton_West Ham_2018,2018-10-05,K Friend,18,5,8,8,2018,1,0,58.781,15.429,20.538,,,,,,,61.116,14.366,17.941,37.534,0.691,30.539,0.395,35.596,1.141,,,,,21.247,-15.11,-15.058,,,,,,,23.582,-16.173,-17.655
71,Man United_Newcastle_2018,2018-10-06,A Taylor,13,9,8,8,2018,3,2,23.319,53.235,23.446,,,,,,,24.417,51.56,24.024,68.507,1.057,22.446,0.461,12.927,1.688,,,,,-45.188,30.789,10.519,,,,,,,-44.09,29.114,11.097
72,Burnley_Huddersfield_2018,2018-10-06,C Kavanagh,11,26,8,8,2018,1,1,72.409,12.734,10.276,,,,,,,72.564,11.67,9.534,47.075,0.956,32.632,0.448,24.133,0.695,,,,,25.334,-19.898,-13.857,,,,,,,25.489,-20.962,-14.599
73,Watford_Bournemouth_2018,2018-10-06,J Moss,39,17,8,8,2018,0,4,73.463,16.87,8.829,,,,,,,80.032,13.119,5.329,46.917,0.55,27.988,0.324,29.034,0.841,,,,,26.546,-11.118,-20.205,,,,,,,33.115,-14.869,-23.705
74,Leicester_Everton_2018,2018-10-06,A Marriner,27,8,8,8,2018,1,2,67.187,18.102,13.743,,,,,,,68.647,16.88,13.08,45.735,0.456,29.174,0.412,28.892,1.263,,,,,21.452,-11.072,-15.149,,,,,,,22.912,-12.294,-15.812
75,Crystal Palace_Wolves_2018,2018-10-06,M Oliver,24,4,8,8,2018,0,1,0.0,53.281,46.719,,,,,,,0.0,51.457,48.542,34.132,0.948,31.322,0.495,38.296,0.556,,,,,-34.132,21.959,8.423,,,,,,,-34.132,20.135,10.246
76,Tottenham_Cardiff_2018,2018-10-06,M Dean,6,1,8,8,2018,1,0,,,,,,,,,,82.41,12.361,3.844,81.311,1.016,15.324,0.791,7.459,0.994,,,,,,,,,,,,,,1.099,-2.963,-3.615
77,Southampton_Chelsea_2018,2018-10-07,C Pawson,12,30,8,8,2018,0,3,4.244,21.551,74.05,,,,,,,4.282,21.365,74.191,17.277,0.991,24.782,0.768,61.799,0.736,,,,,-13.033,-3.231,12.251,,,,,,,-12.995,-3.417,12.392
78,Liverpool_Man City_2018,2018-10-07,M Atkinson,10,3,8,8,2018,0,0,42.457,57.543,0.0,,,,,,,43.081,56.919,0.0,39.608,0.44,28.383,0.991,35.834,0.758,,,,,2.849,29.16,-35.834,,,,,,,3.473,28.536,-35.834
79,Fulham_Arsenal_2018,2018-10-07,P Tierney,16,31,8,8,2018,1,5,27.245,17.404,52.021,,,,,,,27.623,17.347,51.545,20.586,1.365,23.135,0.36,60.075,1.045,,,,,6.659,-5.731,-8.054,,,,,,,7.037,-5.788,-8.53
