,idGame,Date,Referee,Id_Team_Home,Id_Team_Away,nWeekHome,nWeekAway,year,Goals_H,Goals_A,Prob_H_last_3,Prob_D_last_3,Prob_A_last_3,Prob_H_last_6,Prob_D_last_6,Prob_A_last_6,Prob_H_last_10,Prob_D_last_10,Prob_A_last_10,Prob_H_last_infinity,Prob_D_last_infinity,Prob_A_last_infinity,Average_H,Std_dev_H,Average_D,Std_dev_D,Average_A,Std_dev_A,Average_>2.5,Std_dev_>2.5,Average_<2.5,Std_dev_<2.5,Diff_H_last_3,Diff_D_last_3,Diff_A_last_3,Diff_H_last_6,Diff_D_last_6,Diff_A_last_6,Diff_H_last_10,Diff_D_last_10,Diff_A_last_10,Diff_H_last_infinity,Diff_D_last_infinity,Diff_A_last_infinity
90,West Ham_Chelsea_2015,2015-10-24,J Moss,5,30,10,10,2015,2,1,40.971,14.635,29.762,,,,,,,56.137,13.865,19.788,25.997,1.001,27.874,1.722,50.524,1.058,,,,,14.974,-13.239,-20.762,,,,,,,30.14,-14.009,-30.736
91,Leicester_Crystal Palace_2015,2015-10-24,M Dean,27,24,10,10,2015,1,0,14.937,18.96,65.303,,,,,,,16.272,15.764,64.956,44.854,0.76,29.87,2.433,29.992,1.359,,,,,-29.917,-10.91,35.311,,,,,,,-28.582,-14.106,34.964
92,Norwich_West Brom_2015,2015-10-24,K Friend,14,7,10,10,2015,0,1,33.573,36.09,30.334,,,,,,,26.229,40.817,32.953,49.487,0.984,29.725,1.354,25.451,2.484,,,,,-15.914,6.365,4.883,,,,,,,-23.258,11.092,7.502
93,Stoke_Watford_2015,2015-10-24,M Atkinson,22,39,10,10,2015,0,2,39.847,27.747,32.357,,,,,,,34.349,27.924,37.681,47.801,1.054,30.682,0.861,26.19,1.764,,,,,-7.954,-2.935,6.167,,,,,,,-13.452,-2.758,11.491
94,Arsenal_Everton_2015,2015-10-24,L Mason,31,8,10,10,2015,2,1,55.05,44.948,0.0,,,,,,,24.051,44.973,30.975,69.445,0.278,22.224,2.05,12.896,0.802,,,,,-14.395,22.724,-12.896,,,,,,,-45.394,22.749,18.079
95,Aston Villa_Swansea_2015,2015-10-24,N Swarbrick,21,0,10,10,2015,1,2,33.588,36.084,30.325,,,,,,,24.379,34.195,41.419,34.321,1.748,31.624,1.394,38.556,0.67,,,,,-0.733,4.46,-8.231,,,,,,,-9.942,2.571,2.863
96,Liverpool_Southampton_2015,2015-10-25,A Marriner,10,12,10,10,2015,1,1,5.957,22.157,71.73,,,,,,,16.847,26.909,56.169,48.936,2.316,28.816,0.848,26.222,0.877,,,,,-42.979,-6.659,45.508,,,,,,,-32.089,-1.907,29.947
97,Sunderland_Newcastle_2015,2015-10-25,R Madley,38,9,10,10,2015,3,0,71.579,21.17,7.036,,,,,,,72.249,21.013,6.525,39.204,1.934,30.315,0.964,34.718,1.418,,,,,32.375,-9.145,-27.682,,,,,,,33.045,-9.302,-28.193
98,Man United_Man City_2015,2015-10-25,M Clattenburg,13,3,10,10,2015,0,0,71.438,21.279,7.073,,,,,,,59.072,30.717,10.183,38.333,0.915,29.939,1.142,35.742,1.405,,,,,33.105,-8.66,-28.669,,,,,,,20.739,0.778,-25.559
99,Bournemouth_Tottenham_2015,2015-10-25,R East,17,6,10,10,2015,1,5,36.225,35.209,28.561,,,,,,,33.515,40.414,26.07,29.35,1.136,30.345,1.581,44.646,0.386,,,,,6.875,4.864,-16.085,,,,,,,4.165,10.069,-18.576
