,idGame,Date,Referee,Id_Team_Home,Id_Team_Away,nWeekHome,nWeekAway,year,Goals_H,Goals_A,Prob_H_last_3,Prob_D_last_3,Prob_A_last_3,Prob_H_last_6,Prob_D_last_6,Prob_A_last_6,Prob_H_last_10,Prob_D_last_10,Prob_A_last_10,Prob_H_last_infinity,Prob_D_last_infinity,Prob_A_last_infinity,Average_H,Std_dev_H,Average_D,Std_dev_D,Average_A,Std_dev_A,Average_>2.5,Std_dev_>2.5,Average_<2.5,Std_dev_<2.5,Diff_H_last_3,Diff_D_last_3,Diff_A_last_3,Diff_H_last_6,Diff_D_last_6,Diff_A_last_6,Diff_H_last_10,Diff_D_last_10,Diff_A_last_10,Diff_H_last_infinity,Diff_D_last_infinity,Diff_A_last_infinity
70,Everton_Hull_2013,2013-10-19,N Swarbrick,8,34,8,8,2013,2,1,68.919,19.291,11.267,,,,,,,71.63,17.754,9.89,68.921,1.074,23.443,1.176,12.946,1.641,,,,,-0.002,-4.152,-1.679,,,,,,,2.709,-5.689,-3.056
71,Chelsea_Cardiff_2013,2013-10-19,A Taylor,30,1,8,8,2013,4,1,77.801,16.669,5.007,,,,,,,79.945,14.996,4.332,80.489,0.762,16.822,1.696,7.565,1.464,,,,,-2.688,-0.153,-2.558,,,,,,,-0.544,-1.826,-3.233
72,Arsenal_Norwich_2013,2013-10-19,L Probert,31,14,8,8,2013,4,1,57.786,29.326,12.849,,,,,,,60.53,27.747,11.667,77.909,1.036,18.208,1.07,9.083,0.924,,,,,-20.123,11.118,3.766,,,,,,,-17.379,9.539,2.584
73,Swansea_Sunderland_2013,2013-10-19,C Pawson,0,38,8,8,2013,4,0,49.712,19.452,29.422,,,,,,,53.232,18.668,26.307,63.061,1.183,25.294,0.998,16.559,1.358,,,,,-13.349,-5.842,12.863,,,,,,,-9.829,-6.626,9.748
74,West Ham_Man City_2013,2013-10-19,M Oliver,5,3,8,8,2013,1,3,43.895,20.967,34.358,,,,,,,47.384,20.436,31.231,19.004,1.004,26.973,1.464,59.196,1.281,,,,,24.891,-6.006,-24.838,,,,,,,28.38,-6.537,-27.965
75,Man United_Southampton_2013,2013-10-19,M Jones,13,12,8,8,2013,1,1,15.058,54.925,30.017,,,,,,,16.103,54.917,28.98,65.254,2.033,24.337,1.205,15.464,0.677,,,,,-50.196,30.588,14.553,,,,,,,-49.151,30.58,13.516
76,Newcastle_Liverpool_2013,2013-10-19,A Marriner,9,10,8,8,2013,2,2,13.137,19.916,66.442,,,,,,,14.679,20.701,64.179,23.545,1.154,26.789,1.27,54.615,0.697,,,,,-10.408,-6.873,11.827,,,,,,,-8.866,-6.088,9.564
77,Stoke_West Brom_2013,2013-10-19,H Webb,22,7,8,8,2013,0,0,16.503,44.684,38.813,,,,,,,17.783,44.807,37.409,44.277,1.674,30.656,0.777,29.893,1.495,,,,,-27.774,14.028,8.92,,,,,,,-26.494,14.151,7.516
78,Aston Villa_Tottenham_2013,2013-10-20,P Dowd,21,6,8,8,2013,0,2,11.797,33.369,54.819,,,,,,,12.146,33.33,54.509,25.779,0.938,28.923,1.055,50.265,1.615,,,,,-13.982,4.446,4.554,,,,,,,-13.633,4.407,4.244
79,Crystal Palace_Fulham_2013,2013-10-21,L Mason,24,16,8,8,2013,1,4,42.044,39.968,17.986,,,,,,,42.044,39.968,17.986,37.035,0.808,30.661,1.119,37.239,2.115,,,,,5.009,9.307,-19.253,,,,,,,5.009,9.307,-19.253
