,idGame,Date,Referee,Id_Team_Home,Id_Team_Away,nWeekHome,nWeekAway,year,Goals_H,Goals_A,Prob_H_last_3,Prob_D_last_3,Prob_A_last_3,Prob_H_last_6,Prob_D_last_6,Prob_A_last_6,Prob_H_last_10,Prob_D_last_10,Prob_A_last_10,Prob_H_last_infinity,Prob_D_last_infinity,Prob_A_last_infinity,Average_H,Std_dev_H,Average_D,Std_dev_D,Average_A,Std_dev_A,Average_>2.5,Std_dev_>2.5,Average_<2.5,Std_dev_<2.5,Diff_H_last_3,Diff_D_last_3,Diff_A_last_3,Diff_H_last_6,Diff_D_last_6,Diff_A_last_6,Diff_H_last_10,Diff_D_last_10,Diff_A_last_10,Diff_H_last_infinity,Diff_D_last_infinity,Diff_A_last_infinity
70,Liverpool_Wigan_2008,2008-10-18,A Wiley,10,20,8,8,2008,3,2,21.09,31.766,47.126,,,,,,,20.881,33.75,45.359,73.7,2.258,23.183,0.885,10.766,0.902,,,,,-52.61,8.583,36.36,,,,,,,-52.819,10.567,34.593
71,Middlesbrough_Chelsea_2008,2008-10-18,P Dowd,25,30,8,8,2008,0,5,6.486,21.784,71.552,,,,,,,6.711,24.114,69.068,16.419,1.745,27.798,0.785,63.389,2.017,,,,,-9.933,-6.014,8.163,,,,,,,-9.708,-3.684,5.679
72,Bolton_Blackburn_2008,2008-10-18,H Webb,23,33,8,8,2008,0,0,39.765,19.432,39.149,,,,,,,39.673,20.39,38.891,42.191,1.803,31.161,0.555,34.133,0.764,,,,,-2.426,-11.729,5.016,,,,,,,-2.518,-10.771,4.758
73,Aston Villa_Portsmouth_2008,2008-10-18,M Riley,21,28,8,8,2008,0,0,72.581,3.969,1.927,,,,,,,76.875,4.764,2.24,55.208,1.138,30.413,0.774,22.019,1.487,,,,,17.373,-26.444,-20.092,,,,,,,21.667,-25.649,-19.779
74,Arsenal_Everton_2008,2008-10-18,P Walton,31,8,8,8,2008,3,1,53.478,21.44,24.55,,,,,,,52.478,22.678,24.514,73.165,0.965,23.21,0.881,11.174,1.268,,,,,-19.687,-1.77,13.376,,,,,,,-20.687,-0.532,13.34
76,Stoke_Tottenham_2008,2008-10-19,L Mason,22,6,8,8,2008,2,1,54.681,22.085,22.838,,,,,,,52.618,22.432,24.587,31.231,1.023,31.118,0.681,45.088,1.488,,,,,23.45,-9.033,-22.25,,,,,,,21.387,-8.686,-20.501
77,Hull_West Ham_2008,2008-10-19,C Foy,34,5,8,8,2008,1,0,31.147,18.278,48.008,,,,,,,28.721,17.808,50.527,41.484,2.243,31.074,0.779,34.865,1.485,,,,,-10.337,-12.796,13.143,,,,,,,-12.763,-13.266,15.662
78,Newcastle_Man City_2008,2008-10-20,R Styles,9,3,8,8,2008,2,2,25.999,21.701,51.802,,,,,,,25.016,21.259,53.147,34.737,2.155,31.061,0.405,41.819,1.192,,,,,-8.738,-9.36,9.983,,,,,,,-9.721,-9.802,11.328
79,West Brom_Hull_2008,2008-10-25,L Probert,7,34,9,9,2008,0,3,16.736,23.603,59.464,,,,,,,16.17,22.757,60.823,44.963,0.975,30.928,0.753,32.136,2.193,,,,,-28.227,-7.325,27.328,,,,,,,-28.793,-8.171,28.687
80,Sunderland_Newcastle_2008,2008-10-25,M Riley,38,9,9,9,2008,2,1,56.526,22.558,20.603,,,,,,,40.289,29.115,30.564,46.003,1.158,31.067,0.616,30.822,1.939,,,,,10.523,-8.509,-10.219,,,,,,,-5.714,-1.952,-0.258
81,Blackburn_Middlesbrough_2008,2008-10-25,M Dean,33,25,9,9,2008,1,1,10.825,35.179,53.985,,,,,,,18.399,33.899,47.691,49.886,2.215,31.112,0.518,27.141,1.544,,,,,-39.061,4.067,26.844,,,,,,,-31.487,2.787,20.55
82,Everton_Man United_2008,2008-10-25,A Wiley,8,13,9,8,2008,1,1,5.521,14.203,79.149,,,,,,,5.943,13.828,78.857,15.503,2.093,26.952,1.423,65.547,1.089,,,,,-9.982,-12.749,13.602,,,,,,,-9.56,-13.124,13.31
83,Tottenham_Bolton_2008,2008-10-26,A Marriner,6,23,9,9,2008,2,0,14.298,36.309,49.386,,,,,,,19.341,35.584,45.069,51.83,2.017,30.361,0.629,25.727,1.263,,,,,-37.532,5.948,23.659,,,,,,,-32.489,5.223,19.342
84,West Ham_Arsenal_2008,2008-10-26,P Dowd,5,31,9,9,2008,0,2,10.892,12.85,71.404,,,,,,,20.574,19.419,59.018,18.025,2.358,27.931,1.07,62.044,0.811,,,,,-7.133,-15.081,9.36,,,,,,,2.549,-8.512,-3.026
85,Chelsea_Liverpool_2008,2008-10-26,H Webb,30,10,9,9,2008,0,1,25.498,37.353,37.147,,,,,,,33.39,40.467,26.142,53.358,1.813,31.16,0.505,23.485,2.046,,,,,-27.86,6.193,13.662,,,,,,,-19.968,9.307,2.657
86,Wigan_Aston Villa_2008,2008-10-26,M Jones,20,21,9,9,2008,0,4,32.911,31.804,35.273,,,,,,,28.776,29.967,41.233,39.152,0.765,31.374,0.961,37.456,1.8,,,,,-6.241,0.43,-2.183,,,,,,,-10.376,-1.407,3.777
87,Portsmouth_Fulham_2008,2008-10-26,M Halsey,28,16,9,8,2008,1,1,79.413,17.588,2.694,,,,,,,68.49,26.539,4.913,56.355,2.236,29.78,0.765,21.73,1.436,,,,,23.058,-12.192,-19.036,,,,,,,12.135,-3.241,-16.817
88,Man City_Stoke_2008,2008-10-26,S Tanner,3,22,9,9,2008,3,0,72.576,14.504,10.532,,,,,,,78.969,8.5,4.86,68.802,1.412,24.875,1.926,14.51,1.343,,,,,3.774,-10.371,-3.978,,,,,,,10.167,-16.375,-9.65
89,Newcastle_West Brom_2008,2008-10-28,M Dean,9,7,10,10,2008,2,1,54.188,31.168,14.62,,,,,,,55.205,34.758,10.026,53.729,1.158,29.929,1.062,25.26,2.724,,,,,0.459,1.239,-10.64,,,,,,,1.476,4.829,-15.234
90,Middlesbrough_Man City_2008,2008-10-29,L Mason,25,3,10,10,2008,2,0,3.868,8.318,81.926,,,,,,,13.9,14.336,67.663,37.903,1.663,30.93,0.777,40.523,1.295,,,,,-34.035,-22.612,41.403,,,,,,,-24.003,-16.594,27.14
91,Bolton_Everton_2008,2008-10-29,P Dowd,23,8,10,10,2008,0,1,14.389,26.483,59.046,,,,,,,34.146,24.373,41.301,40.538,1.76,31.284,1.084,36.983,1.29,,,,,-26.149,-4.801,22.063,,,,,,,-6.392,-6.911,4.318
