,idGame,Date,Referee,Id_Team_Home,Id_Team_Away,nWeekHome,nWeekAway,year,Goals_H,Goals_A,Prob_H_last_3,Prob_D_last_3,Prob_A_last_3,Prob_H_last_6,Prob_D_last_6,Prob_A_last_6,Prob_H_last_10,Prob_D_last_10,Prob_A_last_10,Prob_H_last_infinity,Prob_D_last_infinity,Prob_A_last_infinity,Average_H,Std_dev_H,Average_D,Std_dev_D,Average_A,Std_dev_A,Average_>2.5,Std_dev_>2.5,Average_<2.5,Std_dev_<2.5,Diff_H_last_3,Diff_D_last_3,Diff_A_last_3,Diff_H_last_6,Diff_D_last_6,Diff_A_last_6,Diff_H_last_10,Diff_D_last_10,Diff_A_last_10,Diff_H_last_infinity,Diff_D_last_infinity,Diff_A_last_infinity
67,Portsmouth_Reading_2007,2007-09-29,M Halsey,28,36,8,8,2007,7,4,69.601,24.788,5.525,,,,,,,74.185,20.786,4.835,57.833,1.391,30.014,0.684,21.679,2.135,,,,,11.768,-5.226,-16.154,,,,,,,16.352,-9.228,-16.844
69,Chelsea_Fulham_2007,2007-09-29,M Atkinson,30,16,8,8,2007,0,0,55.834,26.414,17.664,,,,,,,60.1,23.577,16.128,76.065,2.056,22.338,1.9,11.194,1.646,,,,,-20.231,4.076,6.47,,,,,,,-15.965,1.239,4.934
70,Derby_Bolton_2007,2007-09-29,R Styles,37,23,8,8,2007,1,1,56.953,23.231,19.574,,,,,,,61.052,20.741,17.686,39.921,2.139,31.205,0.57,38.292,1.072,,,,,17.032,-7.974,-18.718,,,,,,,21.131,-10.464,-20.606
71,Birmingham_Man United_2007,2007-09-29,S Bennett,19,13,8,8,2007,0,1,20.555,42.497,36.947,,,,,,,22.573,40.194,37.231,16.568,1.601,27.359,1.15,65.895,0.803,,,,,3.987,15.138,-28.948,,,,,,,6.005,12.835,-28.664
75,Everton_Middlesbrough_2007,2007-09-30,M Riley,8,25,8,8,2007,2,0,45.102,31.835,23.047,,,,,,,48.122,29.501,22.343,56.237,1.94,30.17,0.804,23.195,1.522,,,,,-11.135,1.665,-0.148,,,,,,,-8.115,-0.669,-0.852
77,Aston Villa_West Ham_2007,2007-10-06,S Tanner,21,5,8,8,2007,1,0,56.128,28.316,15.506,,,,,,,33.353,26.194,40.365,54.005,0.99,30.545,1.084,25.13,1.835,,,,,2.123,-2.229,-9.624,,,,,,,-20.652,-4.351,15.235
78,Man United_Wigan_2007,2007-10-06,M Riley,13,20,9,9,2007,4,0,69.629,30.347,0.0,,,,,,,65.304,34.684,0.0,85.248,1.409,17.152,1.207,7.137,1.549,,,,,-15.619,13.195,-7.137,,,,,,,-19.944,17.532,-7.137
79,Fulham_Portsmouth_2007,2007-10-07,H Webb,16,28,9,9,2007,0,2,39.54,20.507,38.964,,,,,,,38.91,18.639,40.016,41.165,1.789,31.203,0.52,36.974,1.57,,,,,-1.625,-10.696,1.99,,,,,,,-2.255,-12.564,3.042
80,Bolton_Chelsea_2007,2007-10-07,A Wiley,23,30,9,9,2007,0,1,73.069,19.89,6.753,,,,,,,46.199,24.611,29.025,21.211,1.799,29.551,1.197,58.8,1.012,,,,,51.858,-9.661,-52.047,,,,,,,24.988,-4.94,-29.775
81,Liverpool_Tottenham_2007,2007-10-07,M Halsey,10,6,8,9,2007,2,2,80.343,12.868,5.19,,,,,,,82.704,12.193,3.696,65.753,0.926,27.487,1.189,16.265,0.963,,,,,14.59,-14.619,-11.075,,,,,,,16.951,-15.294,-12.569
82,Arsenal_Sunderland_2007,2007-10-07,R Styles,31,38,8,9,2007,3,2,85.377,3.386,0.663,,,,,,,82.495,5.242,1.95,84.522,1.185,17.658,1.256,7.091,1.632,,,,,0.855,-14.272,-6.428,,,,,,,-2.027,-12.416,-5.141
83,Man City_Middlesbrough_2007,2007-10-07,S Bennett,3,25,9,9,2007,3,1,82.02,14.069,3.164,,,,,,,80.458,17.016,2.204,60.634,1.405,29.293,0.908,19.852,1.497,,,,,21.386,-15.224,-16.688,,,,,,,19.824,-12.277,-17.648
84,Newcastle_Everton_2007,2007-10-07,M Atkinson,9,8,8,9,2007,3,2,60.151,31.901,7.927,,,,,,,54.663,31.321,13.992,49.656,1.977,30.933,0.411,28.976,2.123,,,,,10.495,0.968,-21.049,,,,,,,5.007,0.388,-14.984
85,Reading_Derby_2007,2007-10-07,L Mason,36,37,9,9,2007,1,0,91.241,3.721,0.0,,,,,,,91.571,5.762,0.0,58.687,1.056,29.678,0.884,21.464,2.134,,,,,32.554,-25.957,-21.464,,,,,,,32.884,-23.916,-21.464
86,Blackburn_Birmingham_2007,2007-10-07,M Clattenburg,33,19,8,9,2007,2,1,23.737,47.88,28.382,,,,,,,30.932,37.566,31.5,60.464,1.184,29.362,1.207,19.93,1.963,,,,,-36.727,18.518,8.452,,,,,,,-29.532,8.204,11.57
87,Everton_Liverpool_2007,2007-10-20,M Clattenburg,8,10,10,9,2007,1,2,0.0,48.13,51.869,,,,,,,8.269,36.47,55.253,29.673,1.494,31.378,0.834,48.542,1.156,,,,,-29.673,16.752,3.327,,,,,,,-21.404,5.092,6.711
