,idGame,nWeekAway,Date,year,IdAwayTeam,FT_against_A,FTG_asA,FT_RESULT,HT_against_A,HTG_asA,HT_RESULT,Referee,Shoot_against_A,Shoot_asA,ShootTarget_against_A,ShootTarget_asA,Fouls_against_A,Fouls_asA,Corner_against_A,Corner_asA,YellowC_against_A,YellowC_asA,RedC_againts_A,RedC_asA,Shoot_asA_last_3,Shoot_asA_last_6,Shoot_asA_last_10,Shoot_asA_last_infinity,ShootTarget_asA_last_3,ShootTarget_asA_last_6,ShootTarget_asA_last_10,ShootTarget_asA_last_infinity,Fouls_asA_last_3,Fouls_asA_last_6,Fouls_asA_last_10,Fouls_asA_last_infinity,Corner_asA_last_3,Corner_asA_last_6,Corner_asA_last_10,Corner_asA_last_infinity,FTG_asA_last_3,FTG_asA_last_6,FTG_asA_last_10,FTG_asA_last_infinity,HTG_asA_last_3,HTG_asA_last_6,HTG_asA_last_10,HTG_asA_last_infinity,YellowC_asA_last_3,YellowC_asA_last_6,YellowC_asA_last_10,YellowC_asA_last_infinity,RedC_asA_last_3,RedC_asA_last_6,RedC_asA_last_10,RedC_asA_last_infinity,FT_against_A_last_3,FT_against_A_last_6,FT_against_A_last_10,FT_against_A_last_infinity,HT_against_A_last_3,HT_against_A_last_6,HT_against_A_last_10,HT_against_A_last_infinity,Shoot_against_A_last_3,Shoot_against_A_last_6,Shoot_against_A_last_10,Shoot_against_A_last_infinity,ShootTarget_against_A_last_3,ShootTarget_against_A_last_6,ShootTarget_against_A_last_10,ShootTarget_against_A_last_infinity,Fouls_against_A_last_3,Fouls_against_A_last_6,Fouls_against_A_last_10,Fouls_against_A_last_infinity,Corner_against_A_last_3,Corner_against_A_last_6,Corner_against_A_last_10,Corner_against_A_last_infinity,RedC_againts_A_last_3,RedC_againts_A_last_6,RedC_againts_A_last_10,RedC_againts_A_last_infinity,YellowC_against_A_last_3,YellowC_against_A_last_6,YellowC_against_A_last_10,YellowC_against_A_last_infinity
0,Newcastle_Arsenal_2011,1,2011-08-13,2011,0,0,0,Draw,0,0,Draw,P Walton,6,9,1,4,9,11,2,5,3,5,0,1,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
1,Wigan_Norwich_2011,1,2011-08-13,2011,25,1,1,Draw,1,1,Draw,S Attwell,18,13,11,3,11,8,7,3,2,2,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
2,Fulham_Aston Villa_2011,1,2011-08-13,2011,1,0,0,Draw,0,0,Draw,L Mason,13,7,9,1,10,18,2,3,2,4,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
3,QPR_Bolton_2011,1,2011-08-13,2011,5,0,4,Winn,0,1,Winn,M Atkinson,13,13,7,7,9,16,3,2,1,2,1,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
4,Liverpool_Sunderland_2011,1,2011-08-13,2011,32,1,1,Draw,1,0,Lost,P Dowd,11,15,4,6,17,12,6,3,4,4,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
5,Blackburn_Wolves_2011,1,2011-08-13,2011,39,1,2,Winn,1,1,Draw,K Friend,16,13,8,4,14,10,12,6,4,2,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
6,Stoke_Chelsea_2011,1,2011-08-14,2011,11,0,0,Draw,0,0,Draw,M Halsey,6,20,3,11,12,12,4,6,2,2,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
7,West Brom_Man United_2011,1,2011-08-14,2011,22,1,2,Winn,1,1,Draw,M Jones,14,11,8,5,16,9,6,5,3,2,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
8,Man City_Swansea_2011,1,2011-08-15,2011,33,4,0,Lost,0,0,Draw,M Dean,26,8,19,5,9,2,7,4,0,0,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
9,Everton_QPR_2011,1,2011-08-20,2011,27,0,1,Winn,0,1,Winn,K Friend,14,4,7,3,12,9,2,1,1,1,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
10,Arsenal_Liverpool_2011,1,2011-08-20,2011,20,0,2,Winn,0,0,Draw,M Atkinson,10,13,6,8,11,6,9,5,2,2,1,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
11,Sunderland_Newcastle_2011,1,2011-08-20,2011,24,0,1,Winn,0,0,Draw,H Webb,15,12,5,10,17,7,7,6,3,3,1,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
12,Swansea_Wigan_2011,1,2011-08-20,2011,38,0,0,Draw,0,0,Draw,P Dowd,12,10,6,4,8,18,7,7,0,3,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
13,Aston Villa_Blackburn_2011,1,2011-08-20,2011,3,3,1,Lost,2,0,Lost,S Attwell,9,10,6,6,9,13,5,4,3,0,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
14,Chelsea_West Brom_2011,1,2011-08-20,2011,36,2,1,Lost,0,1,Winn,L Mason,22,6,12,4,12,8,7,4,2,4,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
15,Wolves_Fulham_2011,1,2011-08-21,2011,15,2,0,Lost,2,0,Lost,M Dean,17,8,7,4,7,10,7,8,2,2,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
16,Norwich_Stoke_2011,1,2011-08-21,2011,31,1,1,Draw,1,0,Lost,N Swarbrick,9,15,7,5,13,12,3,6,0,2,1,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
17,Bolton_Man City_2011,1,2011-08-21,2011,21,2,3,Winn,1,2,Winn,M Jones,6,17,4,9,19,14,7,8,2,0,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
