,idGame,nWeek,Date,year,IdTeam,FTG_asH,FT_against_H,FT_RESULT,HTG_asH,HT_against_H,HT_RESULT,Referee,Shoot_asH,Shoot_against_H,ShootTarget_asH,ShootTarget_against_H,Fouls_asH,Fouls_against_H,Corner_asH,Corner_against_H,YellowC_asH,YellowC_against_H,RedC_asH,RedC_againts_H,nWeekHome,Shoot_asH_last_3,Shoot_asH_last_6,Shoot_asH_last_10,Shoot_asH_last_infinity,ShootTarget_asH_last_3,ShootTarget_asH_last_6,ShootTarget_asH_last_10,ShootTarget_asH_last_infinity,Fouls_asH_last_3,Fouls_asH_last_6,Fouls_asH_last_10,Fouls_asH_last_infinity,Corner_asH_last_3,Corner_asH_last_6,Corner_asH_last_10,Corner_asH_last_infinity,FTG_asH_last_3,FTG_asH_last_6,FTG_asH_last_10,FTG_asH_last_infinity,HTG_asH_last_3,HTG_asH_last_6,HTG_asH_last_10,HTG_asH_last_infinity,YellowC_asH_last_3,YellowC_asH_last_6,YellowC_asH_last_10,YellowC_asH_last_infinity,RedC_asH_last_3,RedC_asH_last_6,RedC_asH_last_10,RedC_asH_last_infinity,FT_against_H_last_3,FT_against_H_last_6,FT_against_H_last_10,FT_against_H_last_infinity,HT_against_H_last_3,HT_against_H_last_6,HT_against_H_last_10,HT_against_H_last_infinity,Shoot_against_H_last_3,Shoot_against_H_last_6,Shoot_against_H_last_10,Shoot_against_H_last_infinity,ShootTarget_against_H_last_3,ShootTarget_against_H_last_6,ShootTarget_against_H_last_10,ShootTarget_against_H_last_infinity,Fouls_against_H_last_3,Fouls_against_H_last_6,Fouls_against_H_last_10,Fouls_against_H_last_infinity,Corner_against_H_last_3,Corner_against_H_last_6,Corner_against_H_last_10,Corner_against_H_last_infinity,RedC_againts_H_last_3,RedC_againts_H_last_6,RedC_againts_H_last_10,RedC_againts_H_last_infinity,YellowC_against_H_last_3,YellowC_against_H_last_6,YellowC_against_H_last_10,YellowC_against_H_last_infinity
0,Arsenal_Crystal Palace_2014,1,2014-08-16,2014,31,2,1,Winn,1,1,Draw,J Moss,14,4,6,2,13,19,9,3,2,2,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,West Brom_Sunderland_2014,1,2014-08-16,2014,7,2,2,Draw,1,1,Draw,N Swarbrick,10,7,5,2,18,9,6,3,3,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Stoke_Aston Villa_2014,1,2014-08-16,2014,22,0,1,Lost,0,0,Draw,A Taylor,12,7,2,2,14,9,2,8,0,3,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,West Ham_Tottenham_2014,1,2014-08-16,2014,5,0,1,Lost,0,0,Draw,C Foy,18,10,4,4,12,10,8,5,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,QPR_Hull_2014,1,2014-08-16,2014,32,0,1,Lost,0,0,Draw,C Pawson,19,11,6,4,10,10,8,9,1,2,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Leicester_Everton_2014,1,2014-08-16,2014,27,2,2,Draw,1,2,Lost,M Jones,11,13,3,3,16,10,3,6,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Man United_Swansea_2014,1,2014-08-16,2014,13,1,2,Lost,0,1,Lost,M Dean,14,5,5,4,14,20,4,0,2,4,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Liverpool_Southampton_2014,1,2014-08-17,2014,10,2,1,Winn,1,0,Winn,M Clattenburg,12,12,5,6,8,11,2,6,1,2,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Newcastle_Man City_2014,1,2014-08-17,2014,9,0,2,Lost,0,1,Lost,M Atkinson,12,13,0,5,8,11,3,3,1,5,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Burnley_Chelsea_2014,1,2014-08-18,2014,11,1,3,Lost,1,3,Lost,M Oliver,9,11,2,3,6,7,4,3,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Chelsea_Leicester_2014,2,2014-08-23,2014,30,2,0,Winn,0,0,Draw,L Mason,27,6,10,4,11,11,8,7,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Aston Villa_Newcastle_2014,2,2014-08-23,2014,21,0,0,Draw,0,0,Draw,M Dean,9,11,0,4,11,8,7,7,4,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Southampton_West Brom_2014,2,2014-08-23,2014,12,0,0,Draw,0,0,Draw,R East,8,8,2,2,14,15,1,5,1,2,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Crystal Palace_West Ham_2014,2,2014-08-23,2014,24,1,3,Lost,0,2,Lost,M Clattenburg,9,17,4,8,14,11,6,9,1,3,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Swansea_Burnley_2014,2,2014-08-23,2014,0,1,0,Winn,1,0,Winn,C Pawson,10,12,5,1,14,13,2,3,2,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Everton_Arsenal_2014,2,2014-08-23,2014,8,2,2,Draw,2,0,Winn,K Friend,8,13,2,3,10,18,3,3,1,4,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Hull_Stoke_2014,2,2014-08-24,2014,34,1,1,Draw,1,0,Winn,J Moss,9,19,2,3,10,10,4,5,1,3,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Sunderland_Man United_2014,2,2014-08-24,2014,38,1,1,Draw,1,1,Draw,M Atkinson,11,10,3,3,10,15,4,4,0,2,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Tottenham_QPR_2014,2,2014-08-24,2014,6,4,0,Winn,3,0,Winn,A Taylor,18,9,5,1,12,6,7,6,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Man City_Liverpool_2014,2,2014-08-25,2014,3,3,1,Winn,1,0,Winn,M Oliver,9,11,4,3,13,7,6,7,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,QPR_Sunderland_2014,3,2014-08-30,2014,32,1,0,Winn,1,0,Winn,R Madley,18,16,5,6,8,9,4,6,1,2,0,0,2,,,,19.0,,,,6.0,,,,10.0,,,,8.0,,,,0.0,,,,0.0,,,,1.0,,,,0.0,,,,1.0,,,,0.0,,,,11.0,,,,4.0,,,,10.0,,,,9.0,,,,0.0,,,,2.0
21,Burnley_Man United_2014,3,2014-08-30,2014,11,0,0,Draw,0,0,Draw,C Foy,9,7,3,2,10,14,3,6,2,2,0,0,2,,,,9.0,,,,2.0,,,,6.0,,,,4.0,,,,1.0,,,,1.0,,,,1.0,,,,0.0,,,,3.0,,,,3.0,,,,11.0,,,,3.0,,,,7.0,,,,3.0,,,,0.0,,,,1.0
22,Swansea_West Brom_2014,3,2014-08-30,2014,0,3,0,Winn,2,0,Winn,P Tierney,15,16,8,2,10,8,0,7,1,2,0,0,2,,,,10.0,,,,5.0,,,,14.0,,,,2.0,,,,1.0,,,,1.0,,,,2.0,,,,0.0,,,,0.0,,,,0.0,,,,12.0,,,,1.0,,,,13.0,,,,3.0,,,,0.0,,,,1.0
23,Newcastle_Crystal Palace_2014,3,2014-08-30,2014,9,3,3,Draw,1,1,Draw,M Jones,18,12,4,7,12,19,11,4,1,3,0,0,2,,,,12.0,,,,0.0,,,,8.0,,,,3.0,,,,0.0,,,,0.0,,,,1.0,,,,0.0,,,,2.0,,,,1.0,,,,13.0,,,,5.0,,,,11.0,,,,3.0,,,,0.0,,,,5.0
24,Everton_Chelsea_2014,3,2014-08-30,2014,8,3,6,Lost,1,2,Lost,J Moss,17,12,7,8,7,16,8,2,1,3,0,0,2,,,,8.0,,,,2.0,,,,10.0,,,,3.0,,,,2.0,,,,2.0,,,,1.0,,,,0.0,,,,2.0,,,,0.0,,,,13.0,,,,3.0,,,,18.0,,,,3.0,,,,0.0,,,,4.0
25,Man City_Stoke_2014,3,2014-08-30,2014,3,0,1,Lost,0,0,Draw,L Mason,16,7,2,2,14,5,11,4,2,1,0,0,2,,,,9.0,,,,4.0,,,,13.0,,,,6.0,,,,3.0,,,,1.0,,,,1.0,,,,0.0,,,,1.0,,,,0.0,,,,11.0,,,,3.0,,,,7.0,,,,7.0,,,,0.0,,,,1.0
26,West Ham_Southampton_2014,3,2014-08-30,2014,5,1,3,Lost,1,1,Draw,M Dean,4,18,2,8,11,13,2,9,2,1,0,0,2,,,,18.0,,,,4.0,,,,12.0,,,,8.0,,,,0.0,,,,0.0,,,,1.0,,,,1.0,,,,1.0,,,,0.0,,,,10.0,,,,4.0,,,,10.0,,,,5.0,,,,1.0,,,,0.0
27,Tottenham_Liverpool_2014,3,2014-08-31,2014,6,0,3,Lost,0,1,Lost,P Dowd,7,17,1,8,14,11,7,3,0,4,0,0,2,,,,18.0,,,,5.0,,,,12.0,,,,7.0,,,,4.0,,,,3.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,9.0,,,,1.0,,,,6.0,,,,6.0,,,,0.0,,,,1.0
28,Aston Villa_Hull_2014,3,2014-08-31,2014,21,2,1,Winn,2,0,Winn,M Clattenburg,11,9,4,3,9,10,3,7,1,4,0,0,2,,,,9.0,,,,0.0,,,,11.0,,,,7.0,,,,0.0,,,,0.0,,,,4.0,,,,0.0,,,,0.0,,,,0.0,,,,11.0,,,,4.0,,,,8.0,,,,7.0,,,,1.0,,,,0.0
29,Leicester_Arsenal_2014,3,2014-08-31,2014,27,1,1,Draw,1,1,Draw,A Taylor,9,24,3,6,14,6,5,10,3,1,0,0,2,,,,11.0,,,,3.0,,,,16.0,,,,3.0,,,,2.0,,,,1.0,,,,1.0,,,,0.0,,,,2.0,,,,2.0,,,,13.0,,,,3.0,,,,10.0,,,,6.0,,,,0.0,,,,1.0
