,idGame,nWeekAway,Date,year,IdAwayTeam,FT_against_A,FTG_asA,FT_RESULT,HT_against_A,HTG_asA,HT_RESULT,Referee,Shoot_against_A,Shoot_asA,ShootTarget_against_A,ShootTarget_asA,Fouls_against_A,Fouls_asA,Corner_against_A,Corner_asA,YellowC_against_A,YellowC_asA,RedC_againts_A,RedC_asA,Shoot_asA_last_3,Shoot_asA_last_6,Shoot_asA_last_10,Shoot_asA_last_infinity,ShootTarget_asA_last_3,ShootTarget_asA_last_6,ShootTarget_asA_last_10,ShootTarget_asA_last_infinity,Fouls_asA_last_3,Fouls_asA_last_6,Fouls_asA_last_10,Fouls_asA_last_infinity,Corner_asA_last_3,Corner_asA_last_6,Corner_asA_last_10,Corner_asA_last_infinity,FTG_asA_last_3,FTG_asA_last_6,FTG_asA_last_10,FTG_asA_last_infinity,HTG_asA_last_3,HTG_asA_last_6,HTG_asA_last_10,HTG_asA_last_infinity,YellowC_asA_last_3,YellowC_asA_last_6,YellowC_asA_last_10,YellowC_asA_last_infinity,RedC_asA_last_3,RedC_asA_last_6,RedC_asA_last_10,RedC_asA_last_infinity,FT_against_A_last_3,FT_against_A_last_6,FT_against_A_last_10,FT_against_A_last_infinity,HT_against_A_last_3,HT_against_A_last_6,HT_against_A_last_10,HT_against_A_last_infinity,Shoot_against_A_last_3,Shoot_against_A_last_6,Shoot_against_A_last_10,Shoot_against_A_last_infinity,ShootTarget_against_A_last_3,ShootTarget_against_A_last_6,ShootTarget_against_A_last_10,ShootTarget_against_A_last_infinity,Fouls_against_A_last_3,Fouls_against_A_last_6,Fouls_against_A_last_10,Fouls_against_A_last_infinity,Corner_against_A_last_3,Corner_against_A_last_6,Corner_against_A_last_10,Corner_against_A_last_infinity,RedC_againts_A_last_3,RedC_againts_A_last_6,RedC_againts_A_last_10,RedC_againts_A_last_infinity,YellowC_against_A_last_3,YellowC_against_A_last_6,YellowC_against_A_last_10,YellowC_against_A_last_infinity
14,Birmingham_Chelsea_2004,1,2004-08-21,2004,11,0,1,Winn,0,0,Draw,B Knight,9,7,3,3,10,16,8,2,0,0,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
15,Southampton_Blackburn_2004,1,2004-08-21,2004,3,3,2,Lost,1,0,Lost,A D'Urso,13,10,7,6,12,18,3,6,0,3,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
16,Crystal Palace_Everton_2004,1,2004-08-21,2004,14,1,3,Winn,1,1,Draw,M Clattenburg,15,14,9,7,6,18,6,6,1,1,0,1,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
17,Liverpool_Man City_2004,1,2004-08-21,2004,21,2,1,Lost,0,1,Winn,G Poll,15,7,10,4,9,17,8,3,1,3,0,1,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
18,Arsenal_Middlesbrough_2004,1,2004-08-22,2004,23,5,3,Lost,1,1,Draw,S Dunn,16,9,11,5,8,14,7,5,1,1,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
19,West Brom_Aston Villa_2004,1,2004-08-22,2004,1,1,1,Draw,1,1,Draw,M Halsey,14,9,5,4,12,20,12,4,2,2,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
20,Birmingham_Man City_2004,2,2004-08-24,2004,21,1,0,Lost,1,0,Lost,P Dowd,6,4,2,1,20,13,2,5,1,1,0,0,,,,7,,,,4,,,,17,,,,3,,,,1,,,,1,,,,3,,,,1,,,,2,,,,0,,,,15,,,,10,,,,9,,,,8,,,,0,,,,1
21,Crystal Palace_Chelsea_2004,2,2004-08-24,2004,11,0,2,Winn,0,1,Winn,C Foy,7,16,4,10,9,12,1,6,1,1,0,0,,,,7,,,,3,,,,16,,,,2,,,,1,,,,0,,,,0,,,,0,,,,0,,,,0,,,,9,,,,3,,,,10,,,,8,,,,0,,,,0
22,Fulham_Middlesbrough_2004,2,2004-08-25,2004,23,0,2,Winn,0,0,Draw,D Gallagher,6,10,2,5,10,8,1,6,0,1,0,0,,,,9,,,,5,,,,14,,,,5,,,,3,,,,1,,,,1,,,,0,,,,5,,,,1,,,,16,,,,11,,,,8,,,,7,,,,0,,,,1
23,Southampton_Bolton_2004,2,2004-08-25,2004,5,1,2,Winn,0,2,Winn,S Dunn,10,9,6,5,9,8,9,6,1,1,0,0,,,,10,,,,4,,,,13,,,,4,,,,0,,,,0,,,,0,,,,0,,,,2,,,,1,,,,23,,,,12,,,,11,,,,8,,,,0,,,,0
